Gene Name,Gene ID,Current Status,Attempt 1,Attempt 2
WD_RS00060,BBF10K_000667,sequence_confirmed,sequence_confirmed,mutation_2.0-0.0
WD_RS00165,BBF10K_000668,sequence_confirmed,sequence_confirmed,mutation_1.0-0.0
WD_RS00180,BBF10K_000669,sequence_confirmed,sequence_confirmed,N/A
WD_RS00200,BBF10K_000670,sequence_confirmed,sequence_confirmed,N/A
WD_RS00285,BBF10K_000671,cloning_error,cloning_error,N/A
WD_RS00325,BBF10K_000672,sequence_confirmed,sequence_confirmed,N/A
WD_RS00485,BBF10K_000673,cloning_mutation,mutation_1.0-0.0,mutation_1.0-0.0
WD_RS00660,BBF10K_000674,sequence_confirmed,sequence_confirmed,N/A
WD_RS00855,BBF10K_000675,sequence_confirmed,sequence_confirmed,N/A
WD_RS00935,BBF10K_000676,sequence_confirmed,sequence_confirmed,N/A
WD_RS00995,BBF10K_000677,sequence_confirmed,sequence_confirmed,N/A
WD_RS01080,BBF10K_000678,sequence_confirmed,sequence_confirmed,mutation_1.0-0.0
WD_RS01095,BBF10K_000679,sequence_confirmed,sequence_confirmed,N/A
WD_RS01275,BBF10K_000680,sequence_confirmed,sequence_confirmed,N/A
WD_RS01280,BBF10K_000681,sequence_confirmed,sequence_confirmed,N/A
WD_RS01290,BBF10K_000682,sequence_confirmed,sequence_confirmed,N/A
WD_RS01295,BBF10K_000683,sequence_confirmed,sequence_confirmed,mutation_1.0-1.0
WD_RS01300,BBF10K_000684,sequence_confirmed,sequence_confirmed,mutation_1.0-0.0
WD_RS01305,BBF10K_000685,sequence_confirmed,sequence_confirmed,N/A
WD_RS06035,BBF10K_000686,sequence_confirmed,sequence_confirmed,mutation_2.0-0.0
WD_RS01405,BBF10K_000687,sequence_confirmed,sequence_confirmed,N/A
WD_RS01485,BBF10K_000688,sequence_confirmed,sequence_confirmed,mutation_1.0-0.0
WD_RS01515,BBF10K_000689,sequence_confirmed,sequence_confirmed,N/A
WD_RS01525,BBF10K_000690,sequence_confirmed,sequence_confirmed,N/A
WD_RS01730,BBF10K_000691,sequence_confirmed,sequence_confirmed,N/A
WD_RS01845,BBF10K_000692,sequence_confirmed,sequence_confirmed,N/A
WD_RS01925,BBF10K_000693,cloning_mutation,mutation_1.0-0.0,mutation_1.0-0.0
WD_RS01940,BBF10K_000694,sequence_confirmed,sequence_confirmed,N/A
WD_RS01955,BBF10K_000695,sequence_confirmed,sequence_confirmed,N/A
WD_RS02050,BBF10K_000696,sequence_confirmed,sequence_confirmed,N/A
