Gene Name,Gene ID,Current Status,Attempt 1,Attempt 2
aphA5a,BBF10K_000562,sequence_confirmed,sequence_confirmed,N/A
ADGRB1,BBF10K_000563,cloning_mutation,cloning_mutation,cloning_error
CCNB3,BBF10K_000564,sequence_confirmed,sequence_confirmed,N/A
CCNG2,BBF10K_000565,sequence_confirmed,sequence_confirmed,N/A
IGFBP3,BBF10K_000566,ordered,N/A,N/A
DDB2,BBF10K_000567,sequence_confirmed,sequence_confirmed,N/A
RPRM,BBF10K_000568,sequence_confirmed,sequence_confirmed,N/A
FAS,BBF10K_000569,cloning_mutation,cloning_mutation,cloning_error
TP53AIP1,BBF10K_000570,sequence_confirmed,sequence_confirmed,N/A
EI24,BBF10K_000571,sequence_confirmed,sequence_confirmed,N/A
ZMAT3,BBF10K_000572,sequence_confirmed,sequence_confirmed,N/A
SHISA5,BBF10K_000573,sequence_confirmed,sequence_confirmed,N/A
C1r,BBF10K_000574,sequence_confirmed,sequence_confirmed,N/A
C1s,BBF10K_000575,sequence_confirmed,sequence_confirmed,N/A
C2,BBF10K_000576,sequence_failure,sequence_failure,N/A
C3,BBF10K_000577,sequence_confirmed,sequence_confirmed,N/A
C4_precursor_C4a-C4b,BBF10K_000578,sequence_confirmed,sequence_confirmed,N/A
C5,BBF10K_000579,sequence_failure,sequence_failure,N/A
C6,BBF10K_000580,cloning_mutation,cloning_mutation,N/A
C7,BBF10K_000581,sequence_confirmed,sequence_confirmed,N/A
C9,BBF10K_000582,cloning_mutation,cloning_mutation,N/A
