Gene Name,Gene ID,Current Status,Attempt 1,Attempt 2
MMSYN1_0001,BBF10K_000001,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0002,BBF10K_000002,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0003,BBF10K_000003,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0004,BBF10K_000004,sequence_confirmed,sequence_confirmed,sequence_confirmed
MMSYN1_0005,BBF10K_000005,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0006,BBF10K_000006,cloning_mutation,mutation_0.0-1.0,N/A
MMSYN1_0007,BBF10K_000007,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0008,BBF10K_000008,sequence_confirmed,sequence_confirmed,mutation_1.0-0.0
MMSYN1_0009,BBF10K_000009,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0010,BBF10K_000010,abandoned,N/A,N/A
MMSYN1_0011,BBF10K_000011,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0012,BBF10K_000012,abandoned,N/A,N/A
MMSYN1_0026,BBF10K_000013,cloning_failure,cloning_failure,cloning_failure
MMSYN1_0027,BBF10K_000014,cloning_failure,cloning_failure,cloning_failure
MMSYN1_0029,BBF10K_000015,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0030,BBF10K_000016,cloning_mutation,mutation_3.0-1.0,mutation_1.0-0.0
MMSYN1_0033,BBF10K_000017,cloning_mutation,mutation_4.0-1.0,N/A
MMSYN1_0034,BBF10K_000018,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0039,BBF10K_000019,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0040,BBF10K_000020,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0042,BBF10K_000021,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0043,BBF10K_000022,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0044,BBF10K_000023,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0045,BBF10K_000024,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0046,BBF10K_000025,sequence_confirmed,sequence_confirmed,N/A
MMSYN1_0047,BBF10K_000026,sequence_failure,bad_reads,bad_reverse
