,Gene,Destination,results
0,BBF10K_000185,A1,Good
1,BBF10K_000169,B1,Good1
2,BBF10K_000349,C1,Good1
3,BBF10K_000168,D1,Good
4,BBF10K_000307,E1,Good?
5,BBF10K_000263,F1,Good1
7,BBF10K_000156,G1,Good
8,BBF10K_000301,H1,Good1
9,BBF10K_000159,A2,Good
10,BBF10K_000023,B2,Good
11,BBF10K_000328,C2,Good
12,BBF10K_000194,D2,Good
13,BBF10K_000362,E2,Good1
14,BBF10K_000095,F2,Good1
15,BBF10K_000070,G2,Good1
16,BBF10K_000308,H2,Good
17,BBF10K_000186,A3,Good
18,BBF10K_000275,B3,Good
19,BBF10K_000205,C3,Good
20,BBF10K_000061,D3,Bad_seq
21,BBF10K_000170,E3,Good1
22,BBF10K_000389,F3,Good1
23,BBF10K_000396,G3,Good1
24,BBF10K_000347,H3,Good1
