,Gene,Destination
77,BBF10K_000202,A10
78,BBF10K_000015,B10
79,BBF10K_000154,C10
80,BBF10K_000221,D10
82,BBF10K_000130,E10
83,BBF10K_000214,F10
84,BBF10K_000236,G10
85,BBF10K_000021,H10
86,BBF10K_000218,A11
87,BBF10K_000174,B11
89,BBF10K_000293,C11
90,BBF10K_000434,D11
91,BBF10K_000028,E11
92,BBF10K_000065,F11
93,BBF10K_000421,G11
94,BBF10K_000422,H11
95,BBF10K_000120,A12
96,BBF10K_000416,B12
97,BBF10K_000197,C12
98,BBF10K_000166,D12
99,BBF10K_000278,E12
100,BBF10K_000208,F12
101,BBF10K_000173,G12
102,BBF10K_000433,H12
