,Gene,Destination
0,BBF10K_000001,A1
1,BBF10K_000008,B1
2,BBF10K_000011,C1
3,BBF10K_000019,D1
5,BBF10K_000020,E1
6,BBF10K_000029,F1
7,BBF10K_000031,G1
8,BBF10K_000039,H1
10,BBF10K_000042,A2
11,BBF10K_000043,B2
12,BBF10K_000046,C2
13,BBF10K_000050,D2
14,BBF10K_000051,E2
15,BBF10K_000052,F2
16,BBF10K_000053,G2
17,BBF10K_000055,H2
18,BBF10K_000056,A3
20,BBF10K_000062,B3
21,BBF10K_000066,C3
22,BBF10K_000075,D3
23,BBF10K_000076,E3
24,BBF10K_000090,F3
25,BBF10K_000091,G3
26,BBF10K_000102,H3
28,BBF10K_000110,A4
29,BBF10K_000119,B4
30,BBF10K_000123,C4
31,BBF10K_000124,D4
32,BBF10K_000127,E4
33,BBF10K_000135,F4
34,BBF10K_000136,G4
35,BBF10K_000142,H4
36,BBF10K_000148,A5
37,BBF10K_000155,B5
38,BBF10K_000162,C5
40,BBF10K_000167,D5
41,BBF10K_000176,E5
42,BBF10K_000191,F5
43,BBF10K_000192,G5
44,BBF10K_000212,H5
45,BBF10K_000222,A6
46,BBF10K_000225,B6
47,BBF10K_000227,C6
49,BBF10K_000230,D6
50,BBF10K_000233,E6
51,BBF10K_000241,F6
52,BBF10K_000243,G6
53,BBF10K_000247,H6
54,BBF10K_000249,A7
55,BBF10K_000250,B7
57,BBF10K_000259,C7
58,BBF10K_000269,D7
59,BBF10K_000270,E7
61,BBF10K_000273,F7
