,Gene,Destination
0,BBF10K_000164,A1
1,BBF10K_000393,B1
3,BBF10K_000179,C1
5,BBF10K_000232,D1
6,BBF10K_000379,E1
7,BBF10K_000216,F1
9,BBF10K_000386,G1
10,BBF10K_000016,H1
11,BBF10K_000356,A2
12,BBF10K_000436,B2
13,BBF10K_000410,C2
14,BBF10K_000408,D2
15,BBF10K_000430,E2
16,BBF10K_000265,F2
17,BBF10K_000414,G2
18,BBF10K_000037,H2
19,BBF10K_000426,A3
20,BBF10K_000318,B3
21,BBF10K_000209,C3
22,BBF10K_000412,D3
23,BBF10K_000162,E3
25,BBF10K_000322,F3
26,BBF10K_000008,G3
27,BBF10K_000048,H3
28,BBF10K_000273,A4
29,BBF10K_000376,B4
30,BBF10K_000074,C4
31,BBF10K_000249,D4
32,BBF10K_000107,E4
33,BBF10K_000076,F4
34,BBF10K_000059,G4
35,BBF10K_000094,H4
37,BBF10K_000042,A5
38,BBF10K_000391,B5
39,BBF10K_000140,C5
40,BBF10K_000404,D5
41,BBF10K_000385,E5
43,BBF10K_000233,F5
44,BBF10K_000331,G5
45,BBF10K_000177,H5
46,BBF10K_000142,A6
47,BBF10K_000019,B6
49,BBF10K_000055,C6
50,BBF10K_000043,D6
51,BBF10K_000075,E6
52,BBF10K_000418,F6
53,BBF10K_000420,G6
54,BBF10K_000424,H6
55,BBF10K_000562,A7
56,BBF10K_000563,B7
57,BBF10K_000564,C7
58,BBF10K_000565,D7
59,BBF10K_000567,E7
60,BBF10K_000568,F7
61,BBF10K_000569,G7
62,BBF10K_000570,H7
63,BBF10K_000571,A8
64,BBF10K_000572,B8
65,BBF10K_000573,C8
66,BBF10K_000574,D8
67,BBF10K_000575,E8
68,BBF10K_000576,F8
69,BBF10K_000577,G8
70,BBF10K_000578,H8
71,BBF10K_000579,A9
72,BBF10K_000580,B9
73,BBF10K_000581,C9
74,BBF10K_000582,D9
75,BBF10K_000600,E9
76,BBF10K_000615,F9
77,BBF10K_000609,G9
78,BBF10K_000586,H9
79,BBF10K_000592,A10
80,BBF10K_000589,B10
81,BBF10K_000604,C10
82,BBF10K_000588,D10
83,BBF10K_000608,E10
84,BBF10K_000599,F10
85,BBF10K_000587,G10
86,BBF10K_000613,H10
87,BBF10K_000627,A11
88,BBF10K_000597,B11
89,BBF10K_000605,C11
90,BBF10K_000611,D11
91,BBF10K_000610,E11
92,BBF10K_000612,F11
93,BBF10K_000622,G11
94,BBF10K_000623,H11
95,BBF10K_000603,A12
96,BBF10K_000626,B12
97,BBF10K_000625,C12
98,BBF10K_000584,D12
99,BBF10K_000593,E12
100,BBF10K_000310,F12
101,BBF10K_000038,G12
102,BBF10K_000080,H12
