,Gene,Destination
0,BBF10K_000562,A1
1,BBF10K_000563,B1
4,BBF10K_000564,C1
7,BBF10K_000565,D1
8,BBF10K_000567,E1
9,BBF10K_000568,F1
10,BBF10K_000569,G1
11,BBF10K_000570,H1
12,BBF10K_000571,A2
13,BBF10K_000572,B2
14,BBF10K_000573,C2
15,BBF10K_000574,D2
17,BBF10K_000575,E2
19,BBF10K_000576,F2
21,BBF10K_000577,G2
24,BBF10K_000578,H2
27,BBF10K_000579,A3
30,BBF10K_000580,B3
32,BBF10K_000581,C3
34,BBF10K_000582,D3
35,BBF10K_000600,E3
36,BBF10K_000615,F3
37,BBF10K_000609,G3
38,BBF10K_000586,H3
39,BBF10K_000592,A4
40,BBF10K_000589,B4
41,BBF10K_000604,C4
42,BBF10K_000588,D4
43,BBF10K_000608,E4
45,BBF10K_000599,F4
46,BBF10K_000587,G4
47,BBF10K_000613,H4
48,BBF10K_000627,A5
51,BBF10K_000597,B5
52,BBF10K_000605,C5
53,BBF10K_000611,D5
54,BBF10K_000610,E5
55,BBF10K_000612,F5
56,BBF10K_000622,G5
57,BBF10K_000623,H5
58,BBF10K_000603,A6
59,BBF10K_000626,B6
62,BBF10K_000625,C6
65,BBF10K_000584,D6
66,BBF10K_000593,E6
