,Gene,Destination
0,BBF10K_000092,A1
1,BBF10K_000228,B1
2,BBF10K_000030,C1
3,BBF10K_000343,D1
4,BBF10K_000035,E1
5,BBF10K_000138,F1
6,BBF10K_000009,G1
7,BBF10K_000261,H1
8,BBF10K_000339,A2
9,BBF10K_000054,B2
10,BBF10K_000141,C2
11,BBF10K_000178,D2
12,BBF10K_000085,E2
13,BBF10K_000291,F2
14,BBF10K_000397,G2
15,BBF10K_000195,H2
16,BBF10K_000317,A3
17,BBF10K_000150,B3
18,BBF10K_000289,C3
19,BBF10K_000103,D3
20,BBF10K_000199,E3
21,BBF10K_000047,F3
22,BBF10K_000026,G3
23,BBF10K_000098,H3
24,BBF10K_000084,A4
25,BBF10K_000112,B4
26,BBF10K_000220,C4
27,BBF10K_000132,D4
28,BBF10K_000226,E4
29,BBF10K_000369,F4
30,BBF10K_000003,G4
31,BBF10K_000304,H4
32,BBF10K_000313,A5
33,BBF10K_000056,B5
34,BBF10K_000033,C5
35,BBF10K_000100,D5
36,BBF10K_000134,E5
37,BBF10K_000187,F5
38,BBF10K_000217,G5
39,BBF10K_000253,H5
40,BBF10K_000072,A6
41,BBF10K_000244,B6
42,BBF10K_000088,C6
43,BBF10K_000398,D6
44,BBF10K_000215,E6
45,BBF10K_000219,F6
46,BBF10K_000248,G6
47,BBF10K_000073,H6
0,BBF10K_000292,A7
1,BBF10K_000093,B7
2,BBF10K_000224,C7
3,BBF10K_000262,D7
4,BBF10K_000087,E7
5,BBF10K_000316,F7
6,BBF10K_000294,G7
7,BBF10K_000266,H7
8,BBF10K_000633,A8
9,BBF10K_000637,B8
10,BBF10K_000442,C8
11,BBF10K_000629,D8
12,BBF10K_000634,E8
13,BBF10K_000444,F8
14,BBF10K_000635,G8
15,BBF10K_000639,H8
16,BBF10K_000451,A9
17,BBF10K_000443,B9
18,BBF10K_000638,C9
19,BBF10K_000445,D9
20,BBF10K_000439,E9
21,BBF10K_000636,F9
22,BBF10K_000453,G9
23,BBF10K_000449,H9
24,BBF10K_000630,A10
25,BBF10K_000440,B10
26,BBF10K_000631,C10
27,BBF10K_000446,D10
28,BBF10K_000583,E10
29,BBF10K_000602,F10
30,BBF10K_000620,G10
31,BBF10K_000606,H10
32,BBF10K_000616,A11
33,BBF10K_000601,B11
34,BBF10K_000596,C11
35,BBF10K_000590,D11
36,BBF10K_000618,E11
37,BBF10K_000619,F11
38,BBF10K_000607,G11
39,BBF10K_000594,H11
40,BBF10K_000595,A12
41,BBF10K_000591,B12
42,BBF10K_000621,C12
43,BBF10K_000598,D12
44,BBF10K_000624,E12
45,BBF10K_000614,F12
46,BBF10K_000585,G12
47,BBF10K_000617,H12
