,For Read,Gene ID,Outcome,Rev Read,Unintended,Well
0,CM_534180-1001_BBF10K_000497_M13-Forward---20-_A01.ab1,BBF10K_000497,Original_vector_sequence,CM_534180-2001_BBF10K_000497_M13-Reverse_A01.ab1,False,A01
1,CM_534180-1002_BBF10K_000468_M13-Forward---20-_B01.ab1,BBF10K_000468,Good_sequence,CM_534180-2002_BBF10K_000468_M13-Reverse_B01.ab1,False,B01
2,CM_534180-1003_BBF10K_000485_M13-Forward---20-_C01.ab1,BBF10K_000485,Bad_reads,CM_534180-2003_BBF10K_000485_M13-Reverse_C01.ab1,False,C01
3,CM_534180-1004_BBF10K_000493_M13-Forward---20-_D01.ab1,BBF10K_000493,Good_sequence,CM_534180-2004_BBF10K_000493_M13-Reverse_D01.ab1,False,D01
4,CM_534180-1005_BBF10K_000499_M13-Forward---20-_E01.ab1,BBF10K_000499,Good_sequence,CM_534180-2005_BBF10K_000499_M13-Reverse_E01.ab1,False,E01
5,CM_534180-1006_BBF10K_000478_M13-Forward---20-_F01.ab1,BBF10K_000478,Good_sequence,CM_534180-2006_BBF10K_000478_M13-Reverse_F01.ab1,False,F01
6,CM_534180-1007_BBF10K_000490_M13-Forward---20-_G01.ab1,BBF10K_000490,Good_sequence,CM_534180-2007_BBF10K_000490_M13-Reverse_G01.ab1,False,G01
7,CM_534180-1008_BBF10K_000488_M13-Forward---20-_H01.ab1,BBF10K_000488,Good_sequence,CM_534180-2008_BBF10K_000488_M13-Reverse_H01.ab1,False,H01
8,CM_534180-1009_BBF10K_000481_M13-Forward---20-_A02.ab1,BBF10K_000481,Point_mutation,CM_534180-2009_BBF10K_000481_M13-Reverse_A02.ab1,False,A02
9,CM_534180-1011_BBF10K_000487_M13-Forward---20-_C02.ab1,BBF10K_000487,Good_sequence,CM_534180-2011_BBF10K_000487_M13-Reverse_C02.ab1,False,C02
10,CM_534180-1012_BBF10K_000483_M13-Forward---20-_D02.ab1,BBF10K_000483,Good_sequence,CM_534180-2012_BBF10K_000483_M13-Reverse_D02.ab1,False,D02
11,CM_534180-1013_BBF10K_000475_M13-Forward---20-_E02.ab1,BBF10K_000475,Point_mutation,CM_534180-2013_BBF10K_000475_M13-Reverse_E02.ab1,False,E02
12,CM_534180-1014_BBF10K_000474_M13-Forward---20-_F02.ab1,BBF10K_000474,Good_sequence,CM_534180-2014_BBF10K_000474_M13-Reverse_F02.ab1,False,F02
13,CM_534180-1015_BBF10K_000492_M13-Forward---20-_G02.ab1,BBF10K_000492,Good_sequence,CM_534180-2015_BBF10K_000492_M13-Reverse_G02.ab1,False,G02
14,CM_534180-1016_BBF10K_000472_M13-Forward---20-_H02.ab1,BBF10K_000472,Good_sequence,CM_534180-2016_BBF10K_000472_M13-Reverse_H02.ab1,False,H02
15,CM_534180-1017_BBF10K_000495_M13-Forward---20-_A03.ab1,BBF10K_000495,Good_sequence,CM_534180-2017_BBF10K_000495_M13-Reverse_A03.ab1,False,A03
16,CM_534180-1018_BBF10K_000479_M13-Forward---20-_B03.ab1,BBF10K_000479,Good_sequence,CM_534180-2018_BBF10K_000479_M13-Reverse_B03.ab1,False,B03
17,CM_534180-1019_BBF10K_000473_M13-Forward---20-_C03.ab1,BBF10K_000473,Point_mutation,CM_534180-2019_BBF10K_000473_M13-Reverse_C03.ab1,False,C03
18,CM_534180-1020_BBF10K_000489_M13-Forward---20-_D03.ab1,BBF10K_000489,Good_sequence,CM_534180-2020_BBF10K_000489_M13-Reverse_D03.ab1,False,D03
19,CM_534180-1021_BBF10K_000482_M13-Forward---20-_E03.ab1,BBF10K_000482,Good_sequence,CM_534180-2021_BBF10K_000482_M13-Reverse_E03.ab1,False,E03
20,CM_534180-1022_BBF10K_000486_M13-Forward---20-_F03.ab1,BBF10K_000486,Good_sequence,CM_534180-2022_BBF10K_000486_M13-Reverse_F03.ab1,False,F03
21,CM_534180-1023_BBF10K_000491_M13-Forward---20-_G03.ab1,BBF10K_000491,Good_sequence,CM_534180-2023_BBF10K_000491_M13-Reverse_G03.ab1,False,G03
22,CM_534180-1024_BBF10K_000480_M13-Forward---20-_H03.ab1,BBF10K_000480,Good_sequence,CM_534180-2024_BBF10K_000480_M13-Reverse_H03.ab1,False,H03
23,CM_534180-1025_BBF10K_000494_M13-Forward---20-_A04.ab1,BBF10K_000494,Good_sequence,CM_534180-2025_BBF10K_000494_M13-Reverse_A04.ab1,False,A04
24,CM_534180-1026_BBF10K_000469_M13-Forward---20-_B04.ab1,BBF10K_000469,Good_sequence,CM_534180-2026_BBF10K_000469_M13-Reverse_B04.ab1,False,B04
25,CM_534180-1027_BBF10K_000501_M13-Forward---20-_C04.ab1,BBF10K_000501,Original_vector_sequence,CM_534180-2027_BBF10K_000501_M13-Reverse_C04.ab1,False,C04
26,CM_534180-1028_BBF10K_000470_M13-Forward---20-_D04.ab1,BBF10K_000470,Good_sequence,CM_534180-2028_BBF10K_000470_M13-Reverse_D04.ab1,False,D04
