Gene,Destination,Result
BBF10K_000632,A1,
BBF10K_000460,B1,
BBF10K_000461,C1,
BBF10K_000462,D1,
BBF10K_000463,E1,
BBF10K_000464,F1,e
BBF10K_000465,G1,
BBF10K_000466,H1,e
BBF10K_000467,A2,
BBF10K_000535,B2,
BBF10K_000539,C2,e
BBF10K_000354,D2,
BBF10K_000241,E2,
BBF10K_000051,F2,
BBF10K_000018,G2,
BBF10K_000017,H2,
BBF10K_000283,A3,
BBF10K_000628,B3,e
BBF10K_000367,C3,e
BBF10K_000276,D3,
BBF10K_000334,E3,
BBF10K_000022,F3,
BBF10K_000319,G3,
Empty,H3,Pick
Empty,A4,Pick
Empty,B4,Pick
Empty,C4,Pick
Empty,D4,Pick
Empty,E4,Pick
Empty,F4,Pick
Empty,G4,Pick
Empty,H4,Pick
Empty,A5,Pick
Empty,B5,Pick
Empty,C5,Pick
Empty,D5,Pick
Empty,E5,Pick
Empty,F5,Pick
Empty,G5,Pick
Empty,H5,Pick
Empty,A6,Pick
Empty,B6,Pick
Empty,C6,Pick
Empty,D6,Pick
Empty,E6,Pick
Empty,F6,Pick
Empty,G6,Pick
Empty,H6,Pick
Empty,A7,Pick
Empty,B7,Pick
Empty,C7,Pick
Empty,D7,Pick
Empty,E7,Pick
Empty,F7,Pick
Empty,G7,Pick
Empty,H7,Pick
Empty,A8,Pick
Empty,B8,Pick
Empty,C8,Pick
Empty,D8,Pick
Empty,E8,Pick
Empty,F8,Pick
Empty,G8,Pick
Empty,H8,Pick
Empty,A9,Pick
Empty,B9,Pick
Empty,C9,Pick
Empty,D9,Pick
Empty,E9,Pick
Empty,F9,Pick
Empty,G9,Pick
Empty,H9,Pick
Empty,A10,Pick
Empty,B10,Pick
Empty,C10,Pick
Empty,D10,Pick
Empty,E10,Pick
Empty,F10,Pick
Empty,G10,Pick
Empty,H10,Pick
Empty,A11,Pick
Empty,B11,Pick
Empty,C11,Pick
Empty,D11,Pick
Empty,E11,Pick
Empty,F11,Pick
Empty,G11,Pick
Empty,H11,Pick
Empty,A12,Pick
Empty,B12,Pick
Empty,C12,Pick
Empty,D12,Pick
Empty,E12,Pick
Empty,F12,Pick
Empty,G12,Pick
Empty,H12,Pick
