Gene,Destination
BBF10K_000747,A1
BBF10K_000744,B1
BBF10K_000741,C1
BBF10K_000746,D1
BBF10K_000742,E1
BBF10K_000748,F1
BBF10K_000743,G1
BBF10K_000684,H1
BBF10K_000681,A2
BBF10K_000683,B2
BBF10K_000677,C2
BBF10K_000679,D2
BBF10K_000682,E2
BBF10K_000678,F2
BBF10K_000673,G2
BBF10K_000674,H2
BBF10K_000680,A3
BBF10K_000675,B3
BBF10K_000685,C3
BBF10K_000676,D3
BBF10K_000702,E3
BBF10K_000704,F3
BBF10K_000706,G3
BBF10K_000701,H3
BBF10K_000705,A4
BBF10K_000703,B4
BBF10K_000694,C4
BBF10K_000700,D4
BBF10K_000697,E4
BBF10K_000698,F4
BBF10K_000699,G4
BBF10K_000740,H4
BBF10K_000711,A5
BBF10K_000736,B5
BBF10K_000737,C5
BBF10K_000739,D5
BBF10K_000715,E5
BBF10K_000713,F5
BBF10K_000717,G5
BBF10K_000735,H5
BBF10K_000738,A6
BBF10K_000716,B6
BBF10K_000710,C6
BBF10K_000734,D6
BBF10K_000707,E6
BBF10K_000730,F6
BBF10K_000712,G6
BBF10K_000731,H6
BBF10K_000708,A7
BBF10K_000714,B7
BBF10K_000732,C7
BBF10K_000709,D7
BBF10K_000733,E7
BBF10K_000695,F7
BBF10K_000693,G7
BBF10K_000696,H7
BBF10K_000690,A8
BBF10K_000688,B8
BBF10K_000689,C8
BBF10K_000691,D8
BBF10K_000686,E8
BBF10K_000692,F8
BBF10K_000687,G8
BBF10K_000670,H8
BBF10K_000671,A9
BBF10K_000672,B9
BBF10K_000667,C9
BBF10K_000669,D9
BBF10K_000668,E9
BBF10K_000729,F9
BBF10K_000723,G9
BBF10K_000727,H9
BBF10K_000728,A10
BBF10K_000725,B10
BBF10K_000726,C10
BBF10K_000722,D10
BBF10K_000718,E10
BBF10K_000724,F10
BBF10K_000719,G10
BBF10K_000720,H10
BBF10K_000721,A11
BBF10K_000749,B11
BBF10K_000661,C11
BBF10K_000658,D11
BBF10K_000662,E11
BBF10K_000660,F11
BBF10K_000664,G11
BBF10K_000657,H11
BBF10K_000654,A12
BBF10K_000659,B12
BBF10K_000655,C12
BBF10K_000656,D12
BBF10K_000666,E12
BBF10K_000663,F12
BBF10K_000648,G12
BBF10K_000647,H12
