Gene,Destination
BBF10K_000948,A1
BBF10K_001027,B1
BBF10K_001232,C1
BBF10K_001820,D1
BBF10K_000763,E1
BBF10K_000766,F1
BBF10K_000767,G1
BBF10K_000770,H1
BBF10K_000792,A2
BBF10K_000795,B2
BBF10K_000803,C2
BBF10K_000820,D2
BBF10K_000840,E2
BBF10K_000844,F2
BBF10K_000853,G2
BBF10K_000881,H2
BBF10K_000889,A3
BBF10K_000890,B3
BBF10K_000899,C3
BBF10K_000915,D3
BBF10K_000917,E3
BBF10K_000920,F3
BBF10K_000925,G3
BBF10K_000927,H3
BBF10K_000928,A4
BBF10K_000936,B4
BBF10K_000937,C4
BBF10K_000947,D4
BBF10K_000953,E4
BBF10K_000956,F4
BBF10K_000957,G4
BBF10K_000961,H4
BBF10K_000964,A5
BBF10K_000968,B5
BBF10K_000969,C5
BBF10K_000971,D5
BBF10K_000977,E5
BBF10K_000996,F5
BBF10K_000998,G5
BBF10K_001001,H5
BBF10K_001013,A6
BBF10K_001017,B6
BBF10K_001018,C6
BBF10K_001023,D6
BBF10K_001037,E6
BBF10K_001038,F6
BBF10K_001042,G6
BBF10K_001045,H6
BBF10K_001056,A7
BBF10K_001068,B7
BBF10K_001082,C7
BBF10K_001090,D7
BBF10K_001105,E7
BBF10K_001137,F7
BBF10K_001143,G7
BBF10K_001148,H7
BBF10K_001150,A8
BBF10K_001162,B8
BBF10K_001167,C8
BBF10K_001175,D8
BBF10K_001181,E8
BBF10K_001184,F8
BBF10K_001185,G8
BBF10K_001186,H8
BBF10K_001194,A9
BBF10K_001210,B9
BBF10K_001222,C9
BBF10K_001227,D9
BBF10K_001246,E9
BBF10K_001250,F9
BBF10K_001255,G9
BBF10K_001264,H9
BBF10K_001282,A10
BBF10K_001504,B10
BBF10K_001651,C10
BBF10K_001735,D10
BBF10K_001755,E10
BBF10K_001763,F10
BBF10K_001778,G10
BBF10K_001800,H10
BBF10K_001852,A11
BBF10K_002046,B11
BBF10K_002177,C11
BBF10K_002189,D11
BBF10K_002199,E11
BBF10K_002415,F11
BBF10K_002424,G11
BBF10K_002433,H11
BBF10K_002522,A12
BBF10K_002555,B12
BBF10K_002589,C12
BBF10K_002766,D12
BBF10K_002777,E12
BBF10K_002830,F12
BBF10K_003069,G12
BBF10K_002898,H12
