Build,Part,Source Well,Target Well
build016,BBF10K_001662,A1,A1
build016,BBF10K_000755,B1,B1
build016,BBF10K_000768,C1,C1
build016,BBF10K_000810,D1,D1
build016,BBF10K_000822,E1,E1
build016,BBF10K_000825,F1,F1
build016,BBF10K_000859,G1,G1
build016,BBF10K_000901,H1,H1
build016,BBF10K_000903,A2,A2
build016,BBF10K_000983,B2,B2
build016,BBF10K_000989,C2,C2
build016,BBF10K_000990,D2,D2
build016,BBF10K_001006,E2,E2
build016,BBF10K_001010,F2,F2
build016,BBF10K_001016,G2,G2
build016,BBF10K_001044,H2,H2
build016,BBF10K_001057,A3,A3
build016,BBF10K_001065,B3,B3
build016,BBF10K_001066,C3,C3
build016,BBF10K_001073,D3,D3
build016,BBF10K_001107,E3,E3
build016,BBF10K_001109,F3,F3
build016,BBF10K_001115,G3,G3
build016,BBF10K_001119,H3,H3
build016,BBF10K_001174,A4,A4
build016,BBF10K_001187,B4,B4
build016,BBF10K_001193,C4,C4
build016,BBF10K_001195,D4,D4
build016,BBF10K_001202,E4,E4
build016,BBF10K_001218,F4,F4
build016,BBF10K_001224,G4,G4
build016,BBF10K_001241,H4,H4
build016,BBF10K_001252,A5,A5
build016,BBF10K_001318,B5,B5
build016,BBF10K_001393,C5,C5
build016,BBF10K_003040,D5,D5
build016,BBF10K_001502,E5,E5
build016,BBF10K_001507,F5,F5
build016,BBF10K_001528,G5,G5
build016,BBF10K_001531,H5,H5
build016,BBF10K_001538,A6,A6
build016,BBF10K_001543,B6,B6
build016,BBF10K_001545,C6,C6
build016,BBF10K_001575,D6,D6
build016,BBF10K_001587,E6,E6
build016,BBF10K_001599,F6,F6
build016,BBF10K_001633,G6,G6
build016,BBF10K_001639,H6,H6
build016,BBF10K_001648,A7,A7
build016,BBF10K_001650,B7,B7
build016,BBF10K_001665,C7,C7
build016,BBF10K_001692,D7,D7
build016,BBF10K_001693,E7,E7
build016,BBF10K_001752,F7,F7
build016,BBF10K_001803,G7,G7
build016,BBF10K_001850,H7,H7
build016,BBF10K_001862,A8,A8
build016,BBF10K_001867,B8,B8
build016,BBF10K_001916,C8,C8
build016,BBF10K_001926,D8,D8
build016,BBF10K_001946,E8,E8
build016,BBF10K_001981,F8,F8
build016,BBF10K_002113,G8,G8
build016,BBF10K_002136,H8,H8
build016,BBF10K_002168,A9,A9
build016,BBF10K_002207,B9,B9
build016,BBF10K_002323,C9,C9
build016,BBF10K_002336,D9,D9
build016,BBF10K_002378,E9,E9
build016,BBF10K_002445,F9,F9
build016,BBF10K_002481,G9,G9
build016,BBF10K_002484,H9,H9
build016,BBF10K_002509,A10,A10
build016,BBF10K_002511,B10,B10
build016,BBF10K_002527,C10,C10
build016,BBF10K_002531,D10,D10
build016,BBF10K_002539,E10,E10
build016,BBF10K_002631,F10,F10
build016,BBF10K_002632,G10,G10
build016,BBF10K_002685,H10,H10
build016,BBF10K_002705,A11,A11
build016,BBF10K_002759,B11,B11
build016,BBF10K_002762,C11,C11
build016,BBF10K_002764,D11,D11
build016,BBF10K_002767,E11,E11
build016,BBF10K_002768,F11,F11
build016,BBF10K_002779,G11,G11
build016,BBF10K_002785,H11,H11
build016,BBF10K_002795,A12,A12
build016,BBF10K_002826,B12,B12
build016,BBF10K_002828,C12,C12
build016,BBF10K_002836,D12,D12
build016,BBF10K_002883,E12,E12
build016,BBF10K_002933,F12,F12
build016,BBF10K_003021,G12,G12
build016,BBF10K_003057,H12,H12
