,original_build,original_well,build_name,address
BBF10K_002687,build025,A1,build025,A1
BBF10K_002945,build025,B1,build025,B1
BBF10K_001240,build025,C1,build025,C1
BBF10K_001242,build025,D1,build025,D1
BBF10K_001705,build028,B1,build025,E1
BBF10K_001266,build025,F1,build025,F1
BBF10K_001275,build025,G1,build025,G1
BBF10K_001769,build028,C1,build025,H1
BBF10K_001290,build025,A2,build025,A2
BBF10K_001348,build025,B2,build025,B2
BBF10K_001353,build025,C2,build025,C2
BBF10K_001408,build025,D2,build025,D2
BBF10K_002052,build028,D1,build025,E2
BBF10K_001467,build025,F2,build025,F2
BBF10K_001474,build025,G2,build025,G2
BBF10K_002396,build028,E1,build025,H2
BBF10K_001497,build025,A3,build025,A3
BBF10K_001547,build025,B3,build025,B3
BBF10K_001557,build025,C3,build025,C3
BBF10K_001582,build025,D3,build025,D3
BBF10K_001620,build028,F1,build025,E3
BBF10K_001725,build025,F3,build025,F3
BBF10K_001730,build025,G3,build025,G3
BBF10K_001734,build025,H3,build025,H3
BBF10K_001736,build025,A4,build025,A4
BBF10K_001759,build025,B4,build025,B4
BBF10K_001786,build025,C4,build025,C4
BBF10K_001787,build025,D4,build025,D4
BBF10K_002956,build028,G1,build025,E4
BBF10K_001882,build025,F4,build025,F4
BBF10K_001884,build025,G4,build025,G4
BBF10K_003076,build028,H1,build025,H4
BBF10K_001898,build025,A5,build025,A5
BBF10K_001261,build028,B2,build025,B5
BBF10K_001931,build025,C5,build025,C5
BBF10K_001952,build025,D5,build025,D5
BBF10K_001270,build028,C2,build025,E5
BBF10K_001974,build025,F5,build025,F5
BBF10K_001975,build025,G5,build025,G5
BBF10K_001273,build028,D2,build025,H5
BBF10K_002009,build025,A6,build025,A6
BBF10K_002018,build025,B6,build025,B6
BBF10K_002025,build025,C6,build025,C6
BBF10K_002040,build025,D6,build025,D6
BBF10K_001303,build028,E2,build025,E6
BBF10K_002051,build025,F6,build025,F6
BBF10K_002059,build025,G6,build025,G6
BBF10K_002974,build028,F2,build025,H6
BBF10K_002137,build025,A7,build025,A7
BBF10K_002139,build025,B7,build025,B7
BBF10K_001319,build028,G2,build025,C7
BBF10K_001327,build028,H2,build025,D7
BBF10K_001354,build028,B3,build025,E7
BBF10K_002196,build025,F7,build025,F7
BBF10K_002219,build025,G7,build025,G7
BBF10K_001400,build028,C3,build025,H7
BBF10K_002236,build025,A8,build025,A8
BBF10K_002263,build025,B8,build025,B8
BBF10K_002269,build025,C8,build025,C8
BBF10K_002276,build025,D8,build025,D8
BBF10K_001429,build028,D3,build025,E8
BBF10K_002309,build025,F8,build025,F8
BBF10K_002326,build025,G8,build025,G8
BBF10K_001435,build028,E3,build025,H8
BBF10K_002358,build025,A9,build025,A9
BBF10K_002373,build025,B9,build025,B9
BBF10K_002379,build025,C9,build025,C9
BBF10K_002417,build025,D9,build025,D9
BBF10K_001445,build028,F3,build025,E9
BBF10K_002444,build025,F9,build025,F9
BBF10K_002465,build025,G9,build025,G9
BBF10K_001471,build028,G3,build025,H9
BBF10K_002503,build025,A10,build025,A10
BBF10K_002510,build025,B10,build025,B10
BBF10K_002534,build025,C10,build025,C10
BBF10K_002543,build025,D10,build025,D10
BBF10K_002545,build025,E10,build025,E10
BBF10K_002552,build025,F10,build025,F10
BBF10K_002572,build025,G10,build025,G10
BBF10K_002574,build025,H10,build025,H10
BBF10K_002604,build025,A11,build025,A11
BBF10K_002640,build025,B11,build025,B11
BBF10K_002662,build025,C11,build025,C11
BBF10K_002667,build025,D11,build025,D11
BBF10K_001477,build028,H3,build025,E11
BBF10K_002734,build025,F11,build025,F11
BBF10K_001534,build028,B4,build025,G11
BBF10K_001535,build028,C4,build025,H11
BBF10K_002765,build025,A12,build025,A12
BBF10K_002803,build025,B12,build025,B12
BBF10K_002837,build025,C12,build025,C12
BBF10K_002843,build025,D12,build025,D12
BBF10K_001541,build028,D4,build025,E12
BBF10K_002981,build025,F12,build025,F12
BBF10K_002984,build025,G12,build025,G12
BBF10K_001566,build028,E4,build025,H12
