,Gene,Destination
0,BBF10K_000292,A1
1,BBF10K_000093,B1
2,BBF10K_000224,C1
3,BBF10K_000262,D1
4,BBF10K_000087,E1
5,BBF10K_000316,F1
7,BBF10K_000294,G1
8,BBF10K_000266,H1
9,BBF10K_000633,A2
10,BBF10K_000637,B2
11,BBF10K_000442,C2
12,BBF10K_000629,D2
13,BBF10K_000634,E2
14,BBF10K_000444,F2
15,BBF10K_000635,G2
16,BBF10K_000639,H2
17,BBF10K_000451,A3
19,BBF10K_000443,B3
20,BBF10K_000638,C3
21,BBF10K_000445,D3
22,BBF10K_000439,E3
23,BBF10K_000636,F3
24,BBF10K_000453,G3
26,BBF10K_000449,H3
27,BBF10K_000630,A4
28,BBF10K_000440,B4
29,BBF10K_000631,C4
30,BBF10K_000446,D4
31,BBF10K_000583,E4
32,BBF10K_000602,F4
33,BBF10K_000620,G4
34,BBF10K_000606,H4
35,BBF10K_000616,A5
36,BBF10K_000601,B5
37,BBF10K_000596,C5
38,BBF10K_000590,D5
39,BBF10K_000618,E5
40,BBF10K_000619,F5
41,BBF10K_000607,G5
42,BBF10K_000594,H5
43,BBF10K_000595,A6
44,BBF10K_000591,B6
45,BBF10K_000621,C6
46,BBF10K_000598,D6
47,BBF10K_000624,E6
48,BBF10K_000614,F6
49,BBF10K_000585,G6
50,BBF10K_000617,H6
