,Gene,Destination
0,BBF10K_000497,A1
2,BBF10K_000468,B1
4,BBF10K_000485,C1
6,BBF10K_000493,D1
8,BBF10K_000499,E1
10,BBF10K_000478,F1
12,BBF10K_000490,G1
14,BBF10K_000488,H1
16,BBF10K_000481,A2
18,BBF10K_000476,B2
20,BBF10K_000487,C2
22,BBF10K_000483,D2
24,BBF10K_000475,E2
26,BBF10K_000474,F2
28,BBF10K_000492,G2
30,BBF10K_000472,H2
32,BBF10K_000495,A3
34,BBF10K_000479,B3
36,BBF10K_000473,C3
38,BBF10K_000489,D3
40,BBF10K_000482,E3
42,BBF10K_000486,F3
44,BBF10K_000491,G3
46,BBF10K_000480,H3
48,BBF10K_000494,A4
50,BBF10K_000469,B4
52,BBF10K_000501,C4
54,BBF10K_000470,D4
56,BBF10K_000500,E4
58,BBF10K_000484,F4
60,BBF10K_000496,G4
62,BBF10K_000471,H4
64,BBF10K_000477,A5
66,BBF10K_000498,B5
68,BBF10K_000544,C5
70,BBF10K_000522,D5
72,BBF10K_000549,E5
74,BBF10K_000550,F5
76,BBF10K_000542,G5
78,BBF10K_000502,H5
80,BBF10K_000503,A6
82,BBF10K_000508,B6
84,BBF10K_000506,C6
86,BBF10K_000552,D6
88,BBF10K_000509,E6
90,BBF10K_000518,F6
92,BBF10K_000513,G6
94,BBF10K_000516,H6
96,BBF10K_000533,A7
98,BBF10K_000519,B7
100,BBF10K_000515,C7
102,BBF10K_000546,D7
104,BBF10K_000547,E7
106,BBF10K_000527,F7
108,BBF10K_000543,G7
110,BBF10K_000528,H7
112,BBF10K_000504,A8
114,BBF10K_000524,B8
116,BBF10K_000514,C8
118,BBF10K_000521,D8
120,BBF10K_000534,E8
122,BBF10K_000551,F8
124,BBF10K_000540,G8
126,BBF10K_000541,H8
128,BBF10K_000531,A9
130,BBF10K_000537,B9
132,BBF10K_000520,C9
134,BBF10K_000525,D9
136,BBF10K_000548,E9
139,Unk_01,F9
140,BBF10K_000529,G9
142,BBF10K_000523,H9
144,BBF10K_000511,A10
146,BBF10K_000536,B10
148,BBF10K_000532,C10
150,BBF10K_000505,D10
152,BBF10K_000530,E10
154,BBF10K_000538,F10
156,BBF10K_000507,G10
158,BBF10K_000526,H10
160,BBF10K_000517,A11
162,Unk_02,B11
164,BBF10K_000559,C11
166,BBF10K_000558,D11
168,BBF10K_000556,E11
170,BBF10K_000560,F11
172,BBF10K_000557,G11
174,BBF10K_000555,H11
176,BBF10K_000553,A12
177,Unk_03,B12
178,Unk_04,C12
179,Unk_05,D12
180,Unk_06,E12
181,Unk_07,F12
182,Unk_08,G12
183,Unk_09,H12
