,Gene,Wells
0,MMSYN1_0115,pSHPs0807B412039MU-A1
1,MMSYN1_0511,pSHPs0807B412039MU-A10
2,MMSYN1_0215,pSHPs0807B412039MU-A11
3,MMSYN1_0693,pSHPs0807B412039MU-A12
4,MMSYN1_0107,pSHPs0807B412039MU-A2
5,MMSYN1_0148,pSHPs0807B412039MU-A3
6,MMSYN1_0494,pSHPs0807B412039MU-A4
7,MMSYN1_0696,pSHPs0807B412039MU-A5
8,MMSYN1_0530,pSHPs0807B412039MU-A6
9,MMSYN1_0481,pSHPs0807B412039MU-A7
10,MMSYN1_0907,pSHPs0807B412039MU-A8
11,MMSYN1_0281,pSHPs0807B412039MU-A9
12,MMSYN1_0833,pSHPs0807B412039MU-B1
13,MMSYN1_0346,pSHPs0807B412039MU-B10
14,MMSYN1_0421,pSHPs0807B412039MU-B11
15,MMSYN1_0168,"pSHPs0807B412039MU-B12,pSHPs0807B412039MU-C12"
16,MMSYN1_0435,pSHPs0807B412039MU-B2
17,MMSYN1_0253,pSHPs0807B412039MU-B3
18,MMSYN1_0138,"pSHPs0807B412039MU-B5,pSHPs0807B412039MU-C5"
19,MMSYN1_0389,"pSHPs0807B412039MU-B6,pSHPs0807B412039MU-C6"
20,MMSYN1_0039,"pSHPs0807B412039MU-B7,pSHPs0807B412039MU-C7"
21,MMSYN1_0043,pSHPs0807B412039MU-B8
22,MMSYN1_0447,pSHPs0807B412039MU-B9
23,MMSYN1_0045,pSHPs0807B412039MU-C1
24,MMSYN1_0283,pSHPs0807B412039MU-C10
25,MMSYN1_0416,pSHPs0807B412039MU-C11
26,MMSYN1_0839,pSHPs0807B412039MU-C2
27,MMSYN1_0686,pSHPs0807B412039MU-C3
28,MMSYN1_0697,pSHPs0807B412039MU-C4
29,MMSYN1_0286,pSHPs0807B412039MU-C8
30,MMSYN1_0166,pSHPs0807B412039MU-C9
31,MMSYN1_0008,pSHPs0807B412039MU-D1
32,MMSYN1_0838,pSHPs0807B412039MU-D10
33,MMSYN1_0433,pSHPs0807B412039MU-D11
34,MMSYN1_0066,pSHPs0807B412039MU-D12
35,MMSYN1_0885,"pSHPs0807B412039MU-D2,pSHPs0807B412039MU-E2"
36,MMSYN1_0144,pSHPs0807B412039MU-D3
37,MMSYN1_0326,pSHPs0807B412039MU-D4
38,MMSYN1_0327,pSHPs0807B412039MU-D5
39,MMSYN1_0097,pSHPs0807B412039MU-D6
40,MMSYN1_0108,pSHPs0807B412039MU-D7
41,MMSYN1_0503,pSHPs0807B412039MU-D8
42,MMSYN1_0077,pSHPs0807B412039MU-D9
43,MMSYN1_0859,"pSHPs0807B412039MU-E1,pSHPs0807B412039MU-F1"
44,MMSYN1_0817,pSHPs0807B412039MU-E10
