Number,Gene Name,Well
1,	MMSYN1_0002_1,A1
2,	MMSYN1_0004_1,B1
3,	MMSYN1_0006_1,C1
4,	MMSYN1_0007_1,D1
5,	MMSYN1_0044_1,E1
6,	MMSYN1_0046_1,F1
7,	MMSYN1_0141_1,G1
8,	MMSYN1_0142_1,H1
9,	MMSYN1_0151_1,A2
10,	MMSYN1_0198_1,B2
11,	MMSYN1_0203_1,C2
12,	MMSYN1_0228_1,D2
13,	MMSYN1_0238_1,E2
14,	MMSYN1_0247_1,F2
15,	MMSYN1_0259_1,G2
16,	MMSYN1_0262_1,H2
17,	MMSYN1_0263_1,A3
18,	MMSYN1_0285_1,B3
19,	MMSYN1_0289_1,C3
20,	MMSYN1_0290_1,D3
21,	MMSYN1_0297_1,E3
22,	MMSYN1_0308_1,F3
23,	MMSYN1_0316_2,G3
24,	MMSYN1_0328_1,H3
25,	MMSYN1_0329_1,A4
26,	MMSYN1_0330_1,B4
27,	MMSYN1_0347_1,C4
28,	MMSYN1_0348_1,D4
29,	MMSYN1_0360_1,E4
30,	MMSYN1_0364_1,F4
31,	MMSYN1_0365_1,G4
32,	MMSYN1_0366_1,H4
33,	MMSYN1_0378_1,A5
34,	MMSYN1_0380_1,B5
35,	MMSYN1_0381_1,C5
36,	MMSYN1_0387_1,D5
37,	MMSYN1_0390_1,E5
38,	MMSYN1_0403_1,F5
39,	MMSYN1_0404_1,G5
40,	MMSYN1_0405_1,H5
41,	MMSYN1_0413_1,A6
42,	MMSYN1_0418_1,B6
43,	MMSYN1_0427_1,C6
44,	MMSYN1_0428_1,D6
45,	MMSYN1_0429_1,E6
46,	MMSYN1_0512_1,F6
47,	MMSYN1_0518_1,G6
48,	MMSYN1_0519_1,H6
49,	MMSYN1_0529_1,A7
50,	MMSYN1_0536_1,B7
51,	MMSYN1_0537_1,C7
52,	MMSYN1_0539_1,D7
53,	MMSYN1_0540_1,E7
54,	MMSYN1_0545_1,F7
55,	MMSYN1_0600_2,G7
56,	MMSYN1_0607_1,H7
57,	MMSYN1_0608_1,A8
58,	MMSYN1_0613_1,B8
59,	MMSYN1_0616_1,C8
60,	MMSYN1_0634_2,D8
61,	MMSYN1_0637_1,E8
62,	MMSYN1_0641_1,F8
63,	MMSYN1_0646_1,G8
64,	MMSYN1_0654_1,H8
65,	MMSYN1_0655_1,A9
66,	MMSYN1_0657_1,B9
67,	MMSYN1_0660_1,C9
68,	MMSYN1_0665_1,D9
69,	MMSYN1_0666_1,E9
70,	MMSYN1_0668_1,F9
71,	MMSYN1_0670_1,G9
72,	MMSYN1_0671_1,H9
73,	MMSYN1_0684_1,A10
74,	MMSYN1_0707_1,B10
75,	MMSYN1_0708_1,C10
76,	MMSYN1_0727_1,D10
77,	MMSYN1_0732_1,E10
78,	MMSYN1_0771_2,F10
79,	MMSYN1_0773_1,G10
80,	MMSYN1_0791_1,H10
81,	MMSYN1_0793_1,A11
82,	MMSYN1_0795_1,B11
83,	MMSYN1_0798_1,C11
84,	MMSYN1_0809_1,D11
85,	MMSYN1_0810_1,E11
86,	MMSYN1_0813_1,F11
87,	MMSYN1_0814_1,G11
88,	MMSYN1_0825_1,H11
89,	MMSYN1_0831_1,A12
90,	MMSYN1_0840_1,B12
91,	MMSYN1_0874_1,C12
92,	MMSYN1_0875_1,D12
93,	MMSYN1_0886_1,E12
94,	MMSYN1_0908_1,F12
N/A,N/A,G12
N/A,N/A,H12
