pipette,container_type,slot
p10,96-PCR-tall,C2
p10,PCR-strip-tall,C3
p10,96-PCR-tall,C3
p10,point,D1
p10,96-deep-well,D2
p10,96-deep-well,D3
p10s,tiprack-10ul,E1
p10s,tiprack-10ul,E2
p10s,tiprack-10ul,E3
p10s,96-PCR-tall,C2
p10s,PCR-strip-tall,C3
p10s,tube-rack-2ml,B1
p10s,96-flat,D2
p10s,96-flat,D3
p10s,96-flat,B2
p10s,point,D1
p10s,point,B2
p200,tiprack-200ul,A3
p200,tube-rack-2ml,B1
p200,PCR-strip-tall,C3
p200,96-flat,B2
p200,point,D1
p10,tiprack-10ul,E1
p10,tiprack-10ul,E2
p10,tiprack-10ul,E3
