,Gene,Wells
0,ColE1-Gen-2,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
1,MMSYN1_0001,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
2,MMSYN1_0002,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
3,MMSYN1_0003,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
4,MMSYN1_0004,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
5,MMSYN1_0005,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
6,MMSYN1_0006,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
7,MMSYN1_0007,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
8,MMSYN1_0008,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
9,MMSYN1_0009,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
10,MMSYN1_0011,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
11,MMSYN1_0025_link_MMSYN1_0662,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
12,MMSYN1_0026,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
13,MMSYN1_0027,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
14,MMSYN1_0029,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
15,MMSYN1_0030,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
16,MMSYN1_0033,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
17,MMSYN1_0034,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
18,MMSYN1_0039,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
19,MMSYN1_0040,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
20,MMSYN1_0042,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
21,MMSYN1_0043,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
22,MMSYN1_0044,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
23,MMSYN1_0045,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
24,MMSYN1_0046,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
25,MMSYN1_0047,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
26,MMSYN1_0054,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
27,MMSYN1_0060,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
28,MMSYN1_0061,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
29,MMSYN1_0063,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
30,MMSYN1_0064,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
31,MMSYN1_0065,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
32,MMSYN1_0066,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
33,MMSYN1_0077,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
34,MMSYN1_0079,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
35,MMSYN1_0080_link_MMSYN1_0500,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
36,MMSYN1_0081,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
37,MMSYN1_0094,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
38,MMSYN1_0095,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
39,MMSYN1_0097,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
40,MMSYN1_0105_link_MMSYN1_0667,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
41,MMSYN1_0107,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
42,MMSYN1_0108,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
43,MMSYN1_0109,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
44,MMSYN1_0113,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
45,MMSYN1_0114,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
46,MMSYN1_0115,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
47,MMSYN1_0116,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
48,MMSYN1_0117,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
49,MMSYN1_0126,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
50,MMSYN1_0127,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
51,MMSYN1_0128,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
52,MMSYN1_0129,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
53,MMSYN1_0131,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
54,MMSYN1_0132,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
55,MMSYN1_0133,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
56,MMSYN1_0138,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
57,MMSYN1_0139,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
58,MMSYN1_0140,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
59,MMSYN1_0141,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
60,MMSYN1_0142,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
61,MMSYN1_0143,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
62,MMSYN1_0144,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
63,MMSYN1_0145,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
64,MMSYN1_0146,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
65,MMSYN1_0147,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
66,MMSYN1_0148,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
67,MMSYN1_0149,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
68,MMSYN1_0150,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
69,MMSYN1_0151,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
70,MMSYN1_0154,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
71,MMSYN1_0163,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
72,MMSYN1_0164,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
73,MMSYN1_0165,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
74,MMSYN1_0166,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
75,MMSYN1_0167,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
