,Gene,Wells
0,ColE1-Gen-2,pSHPs0807B412040MU-B8
1,MMSYN1_0001,pSHPs0826B426849MU-B6
2,MMSYN1_0002,pSHPs0807B412037MU-A1
3,MMSYN1_0003,pSHPs0807B412038MU-F3
4,MMSYN1_0004,pSHPs0807B412037MU-A3
5,MMSYN1_0005,pSHPs0807B412040MU-D2
6,MMSYN1_0006,"pSHPs0807B412037MU-F8,pSHPs0807B412037MU-G8"
7,MMSYN1_0007,"pSHPs0807B412037MU-E6,pSHPs0807B412037MU-F6"
8,MMSYN1_0008,pSHPs0807B412039MU-D1
9,MMSYN1_0009,"pSHPs0807B412038MU-D5,pSHPs0826B426849MU-B5"
10,MMSYN1_0011,pSHPs0826B426849MU-G8
11,MMSYN1_0025_link_MMSYN1_0662,pSHPs0807B412040MU-H7
12,MMSYN1_0026,pSHPs0807B412037MU-E4
13,MMSYN1_0027,pSHPs0807B412037MU-D1
14,MMSYN1_0029,pSHPs0807B412040MU-C5
15,MMSYN1_0030,pSHPs0826B426850MU-H1
16,MMSYN1_0033,"pSHPs0826B426849MU-H12,pSHPs0826B426850MU-A1"
17,MMSYN1_0034,"pSHPs0826B426849MU-C12,pSHPs0826B426849MU-D12,pSHPs0826B426849MU-E12,pSHPs0807B412039MU-F10"
18,MMSYN1_0039,"pSHPs0807B412039MU-B7,pSHPs0807B412039MU-C7"
19,MMSYN1_0040,pSHPs0826B426849MU-B9
20,MMSYN1_0042,pSHPs0807B412039MU-G11
21,MMSYN1_0043,pSHPs0807B412039MU-B8
22,MMSYN1_0044,pSHPs0807B412037MU-H8
23,MMSYN1_0045,pSHPs0807B412039MU-C1
24,MMSYN1_0046,pSHPs0807B412038MU-B12
25,MMSYN1_0047,"pSHPs0807B412038MU-E9,pSHPs0826B426849MU-C7"
26,MMSYN1_0054,pSHPs0807B412039MU-F7
27,MMSYN1_0060,pSHPs0807B412040MU-B5
28,MMSYN1_0061,pSHPs0826B426849MU-D9
29,MMSYN1_0063,pSHPs0807B412039MU-H4
30,MMSYN1_0064,pSHPs0826B426849MU-A5
31,MMSYN1_0065,pSHPs0807B412037MU-F9
32,MMSYN1_0066,pSHPs0807B412039MU-D12
33,MMSYN1_0077,pSHPs0807B412039MU-D9
34,MMSYN1_0079,pSHPs0807B412038MU-H6
35,MMSYN1_0080_link_MMSYN1_0500,pSHPs0807B412040MU-G7
36,MMSYN1_0081,pSHPs0826B426850MU-G2
37,MMSYN1_0094,pSHPs0807B412040MU-B3
38,MMSYN1_0095,"pSHPs0826B426849MU-D4,pSHPs0826B426849MU-E4"
39,MMSYN1_0097,pSHPs0807B412039MU-D6
40,MMSYN1_0105_link_MMSYN1_0667,pSHPs0807B412040MU-F7
41,MMSYN1_0107,pSHPs0807B412039MU-A2
42,MMSYN1_0108,pSHPs0807B412039MU-D7
43,MMSYN1_0109,pSHPs0807B412039MU-H5
44,MMSYN1_0113,pSHPs0807B412037MU-H10
45,MMSYN1_0114,pSHPs0826B426849MU-A1
46,MMSYN1_0115,pSHPs0807B412039MU-A1
47,MMSYN1_0116,pSHPs0807B412040MU-D1
48,MMSYN1_0117,pSHPs0807B412037MU-H3
49,MMSYN1_0126,pSHPs0826B426849MU-F2
50,MMSYN1_0127,pSHPs0826B426849MU-H9
