,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length,Outcome,Manual
0,BBF10K_000259,MMSYN1_0541,gene,537,537,526,526,1119,Perfect,0
1,BBF10K_000222,MMSYN1_0445,gene,464,464,527,526,1284,Mutation: 0.0 1.0,1
2,BBF10K_000222,MMSYN1_0445,backbone,464,192,527,227,893,Bad clone,1
3,BBF10K_000135,MMSYN1_0304,gene,532,532,512,511,1029,Mutation: 0.0 1.0,Perfect
4,BBF10K_000135,MMSYN1_0304,backbone,532,224,512,213,893,Bad clone,Perfect
5,BBF10K_000206,MMSYN1_0428,gene,491,491,529,529,675,Perfect,0
6,BBF10K_000144,MMSYN1_0329,gene,523,523,517,517,759,Perfect,0
7,BBF10K_000091,MMSYN1_0218,gene,561,561,505,505,1518,Perfect,0
8,BBF10K_000158,MMSYN1_0363,gene,497,195,545,199,495,Bad clone,Original Vector Sequence
9,BBF10K_000158,MMSYN1_0363,backbone,497,497,545,545,893,Perfect,Original Vector Sequence
10,BBF10K_000352,MMSYN1_0799,gene,529,529,540,540,1242,Perfect,0
11,BBF10K_000270,MMSYN1_0611,gene,537,537,567,567,2736,Perfect,0
12,BBF10K_000102,MMSYN1_0239,gene,554,554,529,528,1788,Mutation: 0.0 1.0,Partial
13,BBF10K_000102,MMSYN1_0239,backbone,554,235,529,221,893,Bad clone,Partial
14,BBF10K_000090,MMSYN1_0216,gene,228,228,429,429,573,Perfect,0
15,BBF10K_000123,MMSYN1_0287,gene,477,477,473,473,1725,Perfect,0
16,BBF10K_000157,MMSYN1_0361,gene,572,192,518,190,468,Bad clone,Original Vector Sequence
17,BBF10K_000157,MMSYN1_0361,backbone,572,572,518,518,893,Perfect,Original Vector Sequence
18,BBF10K_000155,MMSYN1_0359,gene,510,510,503,503,1530,Perfect,0
19,BBF10K_000011,MMSYN1_0011,gene,544,544,505,505,1647,Perfect,0
20,BBF10K_000031,MMSYN1_0064,gene,461,461,507,507,1503,Perfect,0
21,BBF10K_000250,MMSYN1_0528,gene,519,519,529,528,2385,Mutation: 0.0 1.0,1
22,BBF10K_000250,MMSYN1_0528,backbone,519,221,529,227,893,Bad clone,1
23,BBF10K_000046,MMSYN1_0114,gene,564,564,543,543,921,Perfect,0
24,BBF10K_000377,MMSYN1_0834,gene,549,235,524,224,1317,Bad clone,Original Vector Sequence
25,BBF10K_000377,MMSYN1_0834,backbone,549,549,524,524,893,Perfect,Original Vector Sequence
26,BBF10K_000342,MMSYN1_0787,gene,504,503,542,542,2829,Mutation: 1.0 0.0,1
27,BBF10K_000342,MMSYN1_0787,backbone,504,218,542,225,893,Bad clone,1
28,BBF10K_000320,MMSYN1_0695,gene,498,218,483,207,2169,Bad clone,Original Vector Sequence
