,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length
0,BBF10K_000433,MMSYN1_0662,gene,559,221.0,485,214.0,258
1,BBF10K_000433,MMSYN1_0662,backbone,559,559.0,485,485.0,2993
2,BBF10K_000173,MMSYN1_0388,gene,466,466.0,532,338.0,618
3,BBF10K_000173,MMSYN1_0388,backbone,466,466.0,532,532.0,2993
4,BBF10K_000208,MMSYN1_0430,gene,489,336.0,554,268.0,336
5,BBF10K_000208,MMSYN1_0430,backbone,489,489.0,554,554.0,2993
6,BBF10K_000278,MMSYN1_0632,gene,539,317.0,492,294.0,477
7,BBF10K_000278,MMSYN1_0632,backbone,539,539.0,492,492.0,2993
8,BBF10K_000166,MMSYN1_0376,gene,502,315.0,529,252.0,315
9,BBF10K_000166,MMSYN1_0376,backbone,502,502.0,529,529.0,2993
10,BBF10K_000197,MMSYN1_0416,gene,523,390.0,538,289.0,390
11,BBF10K_000197,MMSYN1_0416,backbone,523,523.0,538,538.0,2993
12,BBF10K_000416,MMSYN1_0658,gene,542,186.0,542,172.0,186
13,BBF10K_000416,MMSYN1_0658,backbone,542,542.0,542,542.0,2993
14,BBF10K_000120,MMSYN1_0283,gene,526,525.0,549,372.0,618
15,BBF10K_000120,MMSYN1_0283,backbone,526,526.0,549,549.0,2993
16,BBF10K_000422,MMSYN1_0873,gene,555,201.0,600,190.0,201
17,BBF10K_000422,MMSYN1_0873,backbone,555,555.0,600,600.0,2993
18,BBF10K_000421,MMSYN1_0350,gene,552,235.0,553,226.0,273
19,BBF10K_000421,MMSYN1_0350,backbone,552,552.0,553,553.0,2993
20,BBF10K_000065,MMSYN1_0146,gene,549,549.0,552,412.0,708
21,BBF10K_000065,MMSYN1_0146,backbone,549,549.0,552,552.0,2993
22,BBF10K_000028,MMSYN1_0060,gene,516,516.0,525,404.0,825
23,BBF10K_000028,MMSYN1_0060,backbone,516,516.0,525,525.0,2993
24,BBF10K_000434,MMSYN1_0852,gene,563,231.0,567,207.0,231
25,BBF10K_000434,MMSYN1_0852,backbone,563,563.0,567,567.0,2993
26,BBF10K_000293,MMSYN1_0651,gene,520,520.0,549,386.0,642
27,BBF10K_000293,MMSYN1_0651,backbone,520,520.0,549,549.0,2993
28,BBF10K_000174,MMSYN1_0389,gene,517,517.0,561,558.0,2145
29,BBF10K_000174,MMSYN1_0389,backbone,517,517.0,561,561.0,2993
30,BBF10K_000218,MMSYN1_0441,gene,543,543.0,527,478.0,1239
31,BBF10K_000218,MMSYN1_0441,backbone,543,543.0,527,527.0,2993
32,BBF10K_000021,MMSYN1_0042,gene,548,548.0,568,436.0,828
33,BBF10K_000021,MMSYN1_0042,backbone,548,548.0,568,568.0,2993
34,BBF10K_000236,MMSYN1_0503,gene,453,267.0,304,213.0,402
35,BBF10K_000236,MMSYN1_0503,backbone,453,453.0,304,304.0,2993
36,BBF10K_000214,MMSYN1_0437,gene,565,565.0,514,441.0,981
37,BBF10K_000214,MMSYN1_0437,backbone,565,565.0,514,514.0,2993
38,BBF10K_000130,MMSYN1_0298,gene,500,236.0,525,239.0,300
39,BBF10K_000130,MMSYN1_0298,backbone,500,500.0,525,525.0,2993
40,BBF10K_000221,MMSYN1_0444,gene,490,490.0,507,503.0,1896
41,BBF10K_000221,MMSYN1_0444,backbone,490,490.0,507,507.0,2993
42,BBF10K_000154,MMSYN1_0353,gene,494,378.0,565,287.0,378
43,BBF10K_000154,MMSYN1_0353,backbone,494,494.0,565,565.0,2993
44,BBF10K_000015,MMSYN1_0029,gene,485,485.0,541,365.0,600
45,BBF10K_000015,MMSYN1_0029,backbone,485,485.0,541,541.0,2993
46,BBF10K_000202,MMSYN1_0424,gene,497,444.0,519,302.0,444
47,BBF10K_000202,MMSYN1_0424,backbone,497,497.0,519,519.0,2993
48,BBF10K_000128,MMSYN1_0296,gene,561,561.0,1,0.0,645
49,BBF10K_000128,MMSYN1_0296,backbone,561,561.0,1,0.0,2993
50,BBF10K_000239,MMSYN1_0511,gene,539,539.0,448,337.0,624
51,BBF10K_000239,MMSYN1_0511,backbone,539,539.0,448,448.0,2993
52,BBF10K_000238,MMSYN1_0505,gene,511,511.0,24,24.0,1074
53,BBF10K_000238,MMSYN1_0505,backbone,511,511.0,24,24.0,2993
54,BBF10K_000399,MMSYN1_0907,gene,533,533.0,141,141.0,795
55,BBF10K_000399,MMSYN1_0907,backbone,533,533.0,141,141.0,2993
56,BBF10K_000133,MMSYN1_0302,gene,447,447.0,443,351.0,651
57,BBF10K_000133,MMSYN1_0302,backbone,447,447.0,443,443.0,2993
58,BBF10K_000406,MMSYN1_0599,gene,553,141.0,540,139.0,141
59,BBF10K_000406,MMSYN1_0599,backbone,553,553.0,540,540.0,2993
60,BBF10K_000190,MMSYN1_0409,gene,536,536.0,570,427.0,777
61,BBF10K_000190,MMSYN1_0409,backbone,536,536.0,570,570.0,2993
62,BBF10K_000189,MMSYN1_0408,gene,481,481.0,571,395.0,678
63,BBF10K_000189,MMSYN1_0408,backbone,481,481.0,571,571.0,2993
64,BBF10K_000329,MMSYN1_0728,gene,585,585.0,431,371.0,837
65,BBF10K_000329,MMSYN1_0728,backbone,585,585.0,431,431.0,2993
66,BBF10K_000378,MMSYN1_0835,gene,594,594.0,462,436.0,1308
67,BBF10K_000378,MMSYN1_0835,backbone,594,594.0,462,462.0,2993
68,BBF10K_000274,MMSYN1_0615,gene,369,369.0,477,345.0,609
69,BBF10K_000274,MMSYN1_0615,backbone,369,369.0,477,477.0,2993
70,BBF10K_000147,MMSYN1_0338,gene,506,506.0,486,363.0,720
71,BBF10K_000147,MMSYN1_0338,backbone,506,506.0,486,486.0,2993
72,BBF10K_000063,MMSYN1_0144,gene,494,310.0,485,310.0,501
73,BBF10K_000063,MMSYN1_0144,backbone,494,494.0,485,485.0,2993
74,BBF10K_000336,MMSYN1_0772,gene,484,474.0,520,312.0,474
75,BBF10K_000336,MMSYN1_0772,backbone,484,484.0,520,520.0,2993
76,BBF10K_000108,MMSYN1_0253,gene,481,474.0,515,318.0,474
77,BBF10K_000108,MMSYN1_0253,backbone,481,481.0,515,515.0,2993
78,BBF10K_000384,MMSYN1_0853,gene,505,505.0,588,416.0,720
79,BBF10K_000384,MMSYN1_0853,backbone,505,505.0,588,588.0,2993
80,BBF10K_000146,MMSYN1_0332,gene,560,560.0,489,404.0,828
81,BBF10K_000146,MMSYN1_0332,backbone,560,560.0,489,489.0,2993
82,BBF10K_000163,MMSYN1_0372,gene,547,547.0,526,518.0,1854
83,BBF10K_000163,MMSYN1_0372,backbone,547,547.0,526,526.0,2993
84,BBF10K_000401,MMSYN1_0909,gene,510,253.0,531,254.0,330
85,BBF10K_000401,MMSYN1_0909,backbone,510,510.0,531,531.0,2993
86,BBF10K_000200,MMSYN1_0420,gene,1121,1008.0,577,544.0,1644
87,BBF10K_000200,MMSYN1_0420,backbone,1121,968.0,577,577.0,2993
88,BBF10K_000071,MMSYN1_0154,gene,516,484.0,555,505.0,1356
89,BBF10K_000071,MMSYN1_0154,backbone,516,516.0,555,555.0,2993
90,BBF10K_000231,MMSYN1_0481,gene,494,294.0,1187,389.0,438
91,BBF10K_000231,MMSYN1_0481,backbone,494,494.0,1187,954.0,2993
92,BBF10K_000321,MMSYN1_0696,gene,494,494.0,547,398.0,756
93,BBF10K_000321,MMSYN1_0696,backbone,494,494.0,547,547.0,2993
94,BBF10K_000363,MMSYN1_0817,gene,498,498.0,514,434.0,930
95,BBF10K_000363,MMSYN1_0817,backbone,498,498.0,514,514.0,2993
96,BBF10K_000302,MMSYN1_0661,gene,547,369.0,580,290.0,369
97,BBF10K_000302,MMSYN1_0661,backbone,547,547.0,580,580.0,2993
98,BBF10K_000419,MMSYN1_0362,gene,546,228.0,535,223.0,279
99,BBF10K_000419,MMSYN1_0362,backbone,546,546.0,535,535.0,2993
100,BBF10K_000252,MMSYN1_0530,gene,546,545.0,565,390.0,609
101,BBF10K_000252,MMSYN1_0530,backbone,546,546.0,565,565.0,2993
102,BBF10K_000407,MMSYN1_0669,gene,536,233.0,545,237.0,285
103,BBF10K_000407,MMSYN1_0669,backbone,536,536.0,545,545.0,2993
104,BBF10K_000425,MMSYN1_0667,gene,564,229.0,552,219.0,267
105,BBF10K_000425,MMSYN1_0667,backbone,564,564.0,552,552.0,2993
106,BBF10K_000081,MMSYN1_0197,gene,522,522.0,543,457.0,1056
107,BBF10K_000081,MMSYN1_0197,backbone,522,522.0,543,543.0,2993
108,BBF10K_000357,MMSYN1_0806,gene,499,369.0,400,233.0,369
109,BBF10K_000357,MMSYN1_0806,backbone,499,499.0,400,400.0,2993
110,BBF10K_000213,MMSYN1_0435,gene,500,411.0,456,384.0,930
111,BBF10K_000213,MMSYN1_0435,backbone,500,500.0,456,456.0,2993
112,BBF10K_000428,MMSYN1_0080,gene,555,222.0,507,195.0,222
113,BBF10K_000428,MMSYN1_0080,backbone,555,555.0,507,507.0,2993
114,BBF10K_000432,MMSYN1_0025,gene,563,228.0,582,206.0,228
115,BBF10K_000432,MMSYN1_0025,backbone,563,563.0,582,582.0,2993
116,BBF10K_000153,MMSYN1_0352,gene,166,163.0,457,310.0,549
117,BBF10K_000153,MMSYN1_0352,backbone,166,166.0,457,457.0,2993
118,BBF10K_000284,MMSYN1_0640,gene,554,554.0,514,396.0,756
119,BBF10K_000284,MMSYN1_0640,backbone,554,554.0,514,514.0,2993
120,BBF10K_000057,MMSYN1_0138,gene,501,501.0,499,493.0,1899
121,BBF10K_000057,MMSYN1_0138,backbone,501,501.0,499,499.0,2993
122,BBF10K_000201,MMSYN1_0421,gene,506,312.0,571,256.0,312
123,BBF10K_000201,MMSYN1_0421,backbone,506,506.0,571,571.0,2993
124,BBF10K_000403,MMSYN1_0689,gene,283,182.0,1,1.0,297
125,BBF10K_000403,MMSYN1_0689,backbone,283,283.0,1,1.0,2993
126,BBF10K_000005,MMSYN1_0005,gene,487,487.0,515,450.0,1092
127,BBF10K_000005,MMSYN1_0005,backbone,487,487.0,515,515.0,2993
128,BBF10K_000165,MMSYN1_0375,gene,561,561.0,551,409.0,741
129,BBF10K_000165,MMSYN1_0375,backbone,561,561.0,551,551.0,2993
130,BBF10K_000234,MMSYN1_0495,gene,523,523.0,560,433.0,876
131,BBF10K_000234,MMSYN1_0495,backbone,523,523.0,560,560.0,2993
132,BBF10K_000171,MMSYN1_0382,gene,478,477.0,554,379.0,639
133,BBF10K_000171,MMSYN1_0382,backbone,478,478.0,554,554.0,2993
134,BBF10K_000077,MMSYN1_0168,gene,503,503.0,541,532.0,1869
135,BBF10K_000077,MMSYN1_0168,backbone,503,503.0,541,541.0,2993
136,BBF10K_000089,MMSYN1_0215,gene,494,295.0,522,306.0,432
137,BBF10K_000089,MMSYN1_0215,backbone,494,494.0,522,522.0,2993
138,BBF10K_000067,MMSYN1_0148,gene,535,420.0,503,287.0,420
139,BBF10K_000067,MMSYN1_0148,backbone,535,535.0,503,503.0,2993
140,BBF10K_000340,MMSYN1_0777,gene,312,242.0,526,320.0,486
141,BBF10K_000340,MMSYN1_0777,backbone,312,312.0,526,526.0,2993
142,BBF10K_000413,MMSYN1_0499,gene,543,239.0,557,234.0,282
143,BBF10K_000413,MMSYN1_0499,backbone,543,543.0,557,557.0,2993
144,BBF10K_000040,MMSYN1_0097,gene,531,531.0,541,434.0,912
145,BBF10K_000040,MMSYN1_0097,backbone,531,531.0,541,541.0,2993
146,BBF10K_000417,MMSYN1_0137,gene,539,233.0,549,236.0,279
147,BBF10K_000417,MMSYN1_0137,backbone,539,539.0,549,549.0,2993
148,BBF10K_000395,MMSYN1_0885,gene,499,499.0,525,521.0,1890
149,BBF10K_000395,MMSYN1_0885,backbone,499,499.0,525,525.0,2993
150,BBF10K_000181,MMSYN1_0400,gene,505,505.0,564,357.0,552
151,BBF10K_000181,MMSYN1_0400,backbone,505,505.0,564,564.0,2993
152,BBF10K_000381,MMSYN1_0838,gene,569,569.0,535,399.0,735
153,BBF10K_000381,MMSYN1_0838,backbone,569,569.0,535,535.0,2993
154,BBF10K_000044,MMSYN1_0109,gene,493,493.0,543,435.0,870
155,BBF10K_000044,MMSYN1_0109,backbone,493,493.0,543,543.0,2993
156,BBF10K_000064,MMSYN1_0145,gene,501,501.0,514,426.0,915
157,BBF10K_000064,MMSYN1_0145,backbone,501,501.0,514,514.0,2993
158,BBF10K_000368,MMSYN1_0822,gene,510,510.0,531,373.0,675
159,BBF10K_000368,MMSYN1_0822,backbone,510,510.0,531,531.0,2993
160,BBF10K_000024,MMSYN1_0045,gene,490,490.0,518,364.0,642
161,BBF10K_000024,MMSYN1_0045,backbone,490,490.0,518,518.0,2993
162,BBF10K_000237,MMSYN1_0504,gene,544,544.0,525,430.0,888
163,BBF10K_000237,MMSYN1_0504,backbone,544,544.0,525,525.0,2993
164,BBF10K_000058,MMSYN1_0139,gene,524,524.0,531,441.0,951
165,BBF10K_000058,MMSYN1_0139,backbone,524,524.0,531,531.0,2993
166,BBF10K_000115,MMSYN1_0264,gene,520,520.0,543,468.0,1116
167,BBF10K_000115,MMSYN1_0264,backbone,520,520.0,543,543.0,2993
168,BBF10K_000211,MMSYN1_0433,gene,509,509.0,537,388.0,684
169,BBF10K_000211,MMSYN1_0433,backbone,509,509.0,537,537.0,2993
170,BBF10K_000394,MMSYN1_0881,gene,492,492.0,506,478.0,1428
171,BBF10K_000394,MMSYN1_0881,backbone,492,492.0,506,506.0,2993
172,BBF10K_000182,MMSYN1_0401,gene,511,493.0,519,497.0,1785
173,BBF10K_000182,MMSYN1_0401,backbone,511,511.0,519,519.0,2993
174,BBF10K_000277,MMSYN1_0620,gene,478,465.0,499,320.0,465
175,BBF10K_000277,MMSYN1_0620,backbone,478,478.0,499,499.0,2993
176,BBF10K_000149,MMSYN1_0345,gene,501,501.0,515,420.0,891
177,BBF10K_000149,MMSYN1_0345,backbone,501,501.0,515,515.0,2993
178,BBF10K_000382,MMSYN1_0839,gene,496,249.0,522,246.0,324
179,BBF10K_000382,MMSYN1_0839,backbone,496,496.0,522,522.0,2993
180,BBF10K_000122,MMSYN1_0286,gene,470,470.0,584,444.0,807
181,BBF10K_000122,MMSYN1_0286,backbone,470,470.0,584,584.0,2993
182,BBF10K_000223,MMSYN1_0447,gene,497,315.0,528,321.0,504
183,BBF10K_000223,MMSYN1_0447,backbone,497,497.0,528,528.0,2993
184,BBF10K_000116,MMSYN1_0270,gene,467,281.0,521,287.0,417
185,BBF10K_000116,MMSYN1_0270,backbone,467,467.0,521,521.0,2993
186,BBF10K_000118,MMSYN1_0281,gene,505,505.0,527,375.0,681
187,BBF10K_000118,MMSYN1_0281,backbone,505,505.0,527,527.0,2993
188,BBF10K_000027,MMSYN1_0054,gene,511,450.0,510,319.0,450
189,BBF10K_000027,MMSYN1_0054,backbone,511,511.0,510,510.0,2993
