,Gene ID,Gene Name,Outcome,Gene Result,Gene For Length,Gene For Score,Gene Rev Length,Gene Rev Score,Gene Length,Template Result,Template For Length,Template For Score,Template Rev Length,Template Rev Score,Template Length
0,BBF10K_000092,MMSYN1_0220,Unknown_sequence,Bad clone,491,213.0,163,78.0,981,Bad clone,491,208.0,163,73.0,893
1,BBF10K_000228,MMSYN1_0475,Good_sequence,Perfect,532,532.0,419,419.0,957,Bad clone,532,226.0,419,181.0,893
2,BBF10K_000030,MMSYN1_0063,Unknown_sequence,Bad clone,502,214.0,430,199.0,975,Bad clone,502,208.0,430,186.0,893
3,BBF10K_000343,MMSYN1_0789,Good_sequence,Perfect,325,300.0,483,300.0,300,Bad clone,325,144.0,483,207.0,893
4,BBF10K_000035,MMSYN1_0077,Original_vector_sequence,Bad clone,515,214.0,484,209.0,840,Perfect,515,515.0,484,484.0,893
5,BBF10K_000138,MMSYN1_0314,Original_vector_sequence,Bad clone,543,220.0,406,170.0,735,Perfect,543,543.0,406,406.0,893
6,BBF10K_000009,MMSYN1_0009,Good_sequence,Perfect,548,548.0,413,413.0,2568,Bad clone,548,222.0,413,183.0,893
7,BBF10K_000261,MMSYN1_0543,Good_sequence,Perfect,469,469.0,411,411.0,603,Bad clone,469,197.0,411,176.0,893
8,BBF10K_000339,MMSYN1_0776,Good_sequence,Perfect,500,447.0,445,445.0,447,Bad clone,500,219.0,445,192.0,893
9,BBF10K_000054,MMSYN1_0131,Point_mutation,Mutation: 0.0 1.0,458,458.0,453,452.0,894,Bad clone,458,190.0,453,195.0,893
10,BBF10K_000141,MMSYN1_0326,Original_vector_sequence,Bad clone,489,208.0,453,196.0,762,Perfect,489,489.0,453,453.0,893
11,BBF10K_000178,MMSYN1_0394,Original_vector_sequence,Bad clone,521,227.0,416,180.0,2361,Perfect,521,521.0,416,416.0,893
12,BBF10K_000085,MMSYN1_0202,Good_sequence,Perfect,544,544.0,458,458.0,558,Bad clone,544,220.0,458,189.0,893
13,BBF10K_000291,MMSYN1_0647,Good_sequence,Perfect,500,366.0,414,366.0,366,Bad clone,500,216.0,414,179.0,893
14,BBF10K_000397,MMSYN1_0887,Good_sequence,Perfect,579,579.0,479,479.0,1344,Bad clone,579,249.0,479,207.0,893
15,BBF10K_000195,MMSYN1_0414,Partial,Bad Forward,573,524.0,430,430.0,2265,Bad clone,573,237.0,430,179.0,893
