,Gene,Gene Name,Target,For Length,For Score,Rev Length,Rev Score,Gene Length,Outcome,Manual
0,BBF10K_000002,MMSYN1_0002,gene,564,564.0,360,360.0,1128,Perfect,
1,BBF10K_000144,MMSYN1_0329,gene,580,252.0,567,255.0,759,Bad clone,
2,BBF10K_000144,MMSYN1_0329,backbone,580,250.0,567,233.0,893,Bad clone,
3,BBF10K_000168,MMSYN1_0378,gene,472,472.0,597,597.0,738,Perfect,
4,BBF10K_000169,MMSYN1_0380,gene,564,564.0,557,557.0,1098,Perfect,
5,BBF10K_000400,MMSYN1_0908,gene,555,555.0,596,596.0,1191,Perfect,
6,BBF10K_000143,MMSYN1_0328,gene,579,579.0,550,550.0,630,Perfect,
7,BBF10K_000263,MMSYN1_0545,gene,571,571.0,506,506.0,2142,Perfect,
8,BBF10K_000263,MMSYN1_0545,gene,573,573.0,574,574.0,2142,Perfect,
9,BBF10K_000184,MMSYN1_0403,gene,509,509.0,529,529.0,906,Perfect,
10,BBF10K_000240,MMSYN1_0512,gene,548,548.0,587,587.0,939,Perfect,
11,BBF10K_000004,MMSYN1_0004,gene,568,253.0,557,246.0,801,Bad clone,
12,BBF10K_000004,MMSYN1_0004,backbone,568,237.0,557,230.0,893,Bad clone,
13,BBF10K_000275,MMSYN1_0616,gene,575,575.0,525,525.0,840,Perfect,
14,BBF10K_000152,MMSYN1_0348,gene,572,572.0,554,554.0,1308,Perfect,
15,BBF10K_000285,MMSYN1_0641,gene,570,570.0,541,540.0,1011,Mutation: 0.0 1.0,CHECK
16,BBF10K_000285,MMSYN1_0641,backbone,570,237.0,541,227.0,893,Bad clone,
17,BBF10K_000301,MMSYN1_0660,gene,584,327.0,581,327.0,327,Perfect,
18,BBF10K_000160,MMSYN1_0365,gene,572,384.0,540,384.0,384,Perfect,
19,BBF10K_000272,MMSYN1_0613,gene,591,591.0,531,531.0,1245,Perfect,
20,BBF10K_000306,MMSYN1_0666,gene,566,336.0,544,336.0,336,Perfect,
21,BBF10K_000349,MMSYN1_0795,gene,558,306.0,514,306.0,306,Perfect,
22,BBF10K_000082,MMSYN1_0198,gene,551,360.0,548,360.0,360,Perfect,
23,BBF10K_000361,MMSYN1_0813,gene,559,559.0,551,551.0,999,Perfect,
24,BBF10K_000383,MMSYN1_0840,gene,502,502.0,274,274.0,642,Perfect,
25,BBF10K_000264,MMSYN1_0600,gene,576,575.0,525,525.0,1833,Mutation: 1.0 0.0,CHECK
26,BBF10K_000264,MMSYN1_0600,backbone,576,241.0,525,224.0,893,Bad clone,
27,BBF10K_000264,MMSYN1_0600,gene,576,576.0,516,516.0,1833,Perfect,
28,BBF10K_000170,MMSYN1_0381,gene,589,589.0,546,546.0,660,Perfect,
29,BBF10K_000172,MMSYN1_0387,gene,549,549.0,566,566.0,1128,Perfect,
30,BBF10K_000281,MMSYN1_0637,gene,577,399.0,568,399.0,399,Perfect,
31,BBF10K_000308,MMSYN1_0670,gene,581,581.0,492,492.0,627,Perfect,
32,BBF10K_000305,MMSYN1_0665,gene,574,574.0,536,536.0,702,Perfect,
33,BBF10K_000007,MMSYN1_0007,gene,561,561.0,514,514.0,2505,Perfect,
34,BBF10K_000007,MMSYN1_0007,gene,561,561.0,521,521.0,2505,Perfect,
35,BBF10K_000070,MMSYN1_0151,gene,506,506.0,533,533.0,1188,Perfect,
36,BBF10K_000297,MMSYN1_0655,gene,544,351.0,550,351.0,351,Perfect,
37,BBF10K_000129,MMSYN1_0297,gene,539,539.0,487,487.0,1863,Perfect,
38,BBF10K_000129,MMSYN1_0297,gene,217,217.0,214,214.0,1863,Perfect,
39,BBF10K_000396,MMSYN1_0886,gene,546,546.0,550,550.0,1578,Perfect,
40,BBF10K_000328,MMSYN1_0727,gene,527,527.0,508,508.0,747,Perfect,
41,BBF10K_000267,MMSYN1_0607,gene,555,555.0,537,537.0,1017,Perfect,
42,BBF10K_000371,MMSYN1_0825,gene,548,548.0,549,549.0,1998,Perfect,
43,BBF10K_000371,MMSYN1_0825,gene,585,585.0,506,506.0,1998,Perfect,
44,BBF10K_000194,MMSYN1_0413,gene,376,376.0,509,509.0,513,Perfect,
45,BBF10K_000389,MMSYN1_0875,gene,597,597.0,558,558.0,597,Perfect,
46,BBF10K_000006,MMSYN1_0006,gene,550,550.0,551,550.0,1905,Mutation: 0.0 1.0,CHECK
47,BBF10K_000006,MMSYN1_0006,backbone,550,233.0,551,231.0,893,Bad clone,
48,BBF10K_000006,MMSYN1_0006,gene,520,520.0,551,551.0,1905,Perfect,
49,BBF10K_000023,MMSYN1_0044,gene,548,548.0,539,539.0,741,Perfect,
50,BBF10K_000186,MMSYN1_0405,gene,563,563.0,527,527.0,1371,Perfect,
51,BBF10K_000205,MMSYN1_0427,gene,564,564.0,548,548.0,810,Perfect,
52,BBF10K_000347,MMSYN1_0793,gene,540,540.0,540,540.0,546,Perfect,
53,BBF10K_000255,MMSYN1_0536,gene,560,549.0,529,529.0,549,Perfect,
54,BBF10K_000061,MMSYN1_0142,gene,558,558.0,555,555.0,849,Perfect,
55,BBF10K_000258,MMSYN1_0540,gene,565,565.0,558,558.0,879,Perfect,
56,BBF10K_000337,MMSYN1_0773,gene,535,535.0,568,568.0,1020,Perfect,
57,BBF10K_000345,MMSYN1_0791,gene,552,552.0,495,495.0,843,Perfect,
58,BBF10K_000332,MMSYN1_0732,gene,588,588.0,521,521.0,669,Perfect,
59,BBF10K_000159,MMSYN1_0364,gene,517,517.0,540,540.0,723,Perfect,
60,BBF10K_000101,MMSYN1_0238,gene,543,543.0,486,486.0,627,Perfect,
61,BBF10K_000360,MMSYN1_0810,gene,588,428.0,573,429.0,429,Mutation: 1.0 0.0,CHECK
62,BBF10K_000360,MMSYN1_0810,backbone,588,251.0,573,243.0,893,Bad clone,
63,BBF10K_000307,MMSYN1_0668,gene,548,548.0,517,517.0,849,Perfect,
64,BBF10K_000185,MMSYN1_0404,gene,549,549.0,571,571.0,750,Perfect,
65,BBF10K_000156,MMSYN1_0360,gene,555,555.0,515,515.0,1344,Perfect,
66,BBF10K_000257,MMSYN1_0539,gene,562,562.0,558,558.0,888,Perfect,
67,BBF10K_000145,MMSYN1_0330,gene,528,528.0,557,557.0,618,Perfect,
68,BBF10K_000362,MMSYN1_0814,gene,547,547.0,533,533.0,1188,Perfect,
69,BBF10K_000335,MMSYN1_0771,gene,549,548.0,586,457.0,2163,Mutation: 1.0 129.0,CHECK
70,BBF10K_000335,MMSYN1_0771,backbone,549,235.0,586,245.0,893,Bad clone,
71,BBF10K_000335,MMSYN1_0771,gene,549,549.0,580,580.0,2163,Perfect,
72,BBF10K_000324,MMSYN1_0707,gene,525,525.0,540,540.0,750,Perfect,
73,BBF10K_000351,MMSYN1_0798,gene,482,482.0,579,579.0,624,Perfect,
74,BBF10K_000125,MMSYN1_0289,gene,547,354.0,565,354.0,354,Perfect,
75,BBF10K_000245,MMSYN1_0518,gene,582,582.0,547,547.0,609,Perfect,
76,BBF10K_000198,MMSYN1_0418,gene,545,545.0,306,306.0,699,Perfect,
77,BBF10K_000126,MMSYN1_0290,gene,555,555.0,461,461.0,879,Perfect,
78,BBF10K_000388,MMSYN1_0874,gene,470,470.0,558,558.0,696,Perfect,
79,BBF10K_000175,MMSYN1_0390,gene,589,589.0,551,551.0,954,Perfect,
80,BBF10K_000086,MMSYN1_0203,gene,464,464.0,477,477.0,894,Perfect,
81,BBF10K_000299,MMSYN1_0657,gene,535,390.0,474,390.0,390,Perfect,
82,BBF10K_000113,MMSYN1_0262,gene,582,582.0,538,538.0,678,Perfect,
83,BBF10K_000114,MMSYN1_0263,gene,6,6.0,5,5.0,903,Perfect,
84,BBF10K_000311,MMSYN1_0684,gene,547,547.0,523,523.0,867,Perfect,
85,BBF10K_000161,MMSYN1_0366,gene,519,519.0,493,493.0,951,Perfect,
86,BBF10K_000251,MMSYN1_0529,gene,7,7.0,3,3.0,1053,Perfect,
87,BBF10K_000290,MMSYN1_0646,gene,353,353.0,378,378.0,390,Perfect,
88,BBF10K_000121,MMSYN1_0285,gene,553,553.0,479,479.0,1803,Perfect,
89,BBF10K_000121,MMSYN1_0285,gene,11,11.0,8,8.0,1803,Perfect,
90,BBF10K_000296,MMSYN1_0654,gene,484,484.0,443,443.0,765,Perfect,
91,BBF10K_000206,MMSYN1_0428,gene,590,589.0,542,542.0,675,Mutation: 1.0 0.0,CHECK
92,BBF10K_000206,MMSYN1_0428,backbone,590,246.0,542,228.0,893,Bad clone,
93,BBF10K_000104,MMSYN1_0247,gene,336,335.0,9,9.0,591,Mutation: 1.0 0.0,CHECK
94,BBF10K_000104,MMSYN1_0247,backbone,336,147.0,9,6.0,893,Mutation: 189.0 3.0,CHECK
95,BBF10K_000139,MMSYN1_0316,gene,8,7.0,5,5.0,1971,Mutation: 1.0 0.0,CHECK
96,BBF10K_000139,MMSYN1_0316,backbone,8,6.0,5,5.0,893,Mutation: 2.0 0.0,CHECK
97,BBF10K_000139,MMSYN1_0316,gene,13,13.0,8,8.0,1971,Perfect,
98,BBF10K_000374,MMSYN1_0831,gene,570,570.0,576,576.0,1035,Perfect,
99,BBF10K_000359,MMSYN1_0809,gene,394,394.0,4,4.0,681,Perfect,
100,BBF10K_000060,MMSYN1_0141,gene,597,597.0,492,492.0,1095,Perfect,
101,BBF10K_000111,MMSYN1_0259,gene,477,477.0,545,545.0,798,Perfect,
102,BBF10K_000246,MMSYN1_0519,gene,765,726.0,399,399.0,2748,Bad Forward,CHECK
103,BBF10K_000246,MMSYN1_0519,backbone,765,300.0,399,168.0,893,Bad clone,
104,BBF10K_000256,MMSYN1_0537,gene,506,506.0,491,491.0,714,Perfect,
105,BBF10K_000096,MMSYN1_0228,gene,609,609.0,513,513.0,1890,Perfect,
106,BBF10K_000096,MMSYN1_0228,gene,545,545.0,424,424.0,1890,Perfect,
107,BBF10K_000279,MMSYN1_0634,gene,518,517.0,426,426.0,2415,Mutation: 1.0 0.0,CHECK
108,BBF10K_000279,MMSYN1_0634,backbone,518,220.0,426,182.0,893,Bad clone,
109,BBF10K_000309,MMSYN1_0671,gene,365,365.0,321,321.0,672,Perfect,
110,BBF10K_000325,MMSYN1_0708,gene,531,531.0,507,507.0,1464,Perfect,
