,For_align,For_raw,For_score,Gene_id,Outcome,Rev_align,Rev_raw,Rev_score,Total_length
0,0.0,3.0,3.0,BBF10K_003070,mutation_3.0-0.0,685.0,685.0,0.0,1042.0
1,547.0,547.0,0.0,BBF10K_001299,sequence_confirmed,581.0,581.0,0.0,1156.0
2,122.0,122.0,0.0,BBF10K_001742,sequence_confirmed,567.0,567.0,0.0,1150.0
3,183.0,236.0,53.0,BBF10K_001789,bad_forward,593.0,593.0,0.0,919.0
4,508.0,508.0,0.0,BBF10K_001818,sequence_confirmed,585.0,585.0,0.0,829.0
5,546.0,546.0,0.0,BBF10K_001922,sequence_confirmed,520.0,520.0,0.0,859.0
6,379.0,380.0,1.0,BBF10K_002600,mutation_1.0-0.0,560.0,560.0,0.0,757.0
7,156.0,157.0,1.0,BBF10K_002603,mutation_1.0-6.0,573.0,579.0,6.0,658.0
8,494.0,494.0,0.0,BBF10K_001297,sequence_confirmed,546.0,546.0,0.0,1138.0
9,577.0,580.0,3.0,BBF10K_001317,mutation_3.0-0.0,533.0,533.0,0.0,1549.0
10,391.0,392.0,1.0,BBF10K_001344,mutation_1.0-1.0,531.0,532.0,1.0,736.0
11,427.0,427.0,0.0,BBF10K_001386,sequence_confirmed,574.0,574.0,0.0,1150.0
12,471.0,471.0,0.0,BBF10K_001406,sequence_confirmed,514.0,514.0,0.0,1039.0
13,624.0,625.0,1.0,BBF10K_001416,mutation_1.0-1.0,562.0,563.0,1.0,1219.0
14,405.0,406.0,1.0,BBF10K_001443,mutation_1.0-7.0,539.0,546.0,7.0,652.0
15,466.0,466.0,0.0,BBF10K_001449,sequence_confirmed,503.0,503.0,0.0,1321.0
16,298.0,299.0,1.0,BBF10K_001463,mutation_1.0-0.0,590.0,590.0,0.0,1198.0
17,584.0,584.0,0.0,BBF10K_003041,sequence_confirmed,569.0,569.0,0.0,1360.0
18,580.0,580.0,0.0,BBF10K_001516,sequence_confirmed,603.0,603.0,0.0,772.0
19,0.0,3.0,3.0,BBF10K_001537,bad_reverse,184.0,502.0,318.0,1570.0
20,533.0,533.0,0.0,BBF10K_001572,sequence_confirmed,562.0,562.0,0.0,1336.0
21,458.0,458.0,0.0,BBF10K_001606,mutation_0.0-6.0,420.0,426.0,6.0,553.0
22,459.0,459.0,0.0,BBF10K_001608,sequence_confirmed,523.0,523.0,0.0,1312.0
23,456.0,456.0,0.0,BBF10K_001610,sequence_confirmed,565.0,565.0,0.0,799.0
24,467.0,467.0,0.0,BBF10K_001616,sequence_confirmed,579.0,579.0,0.0,1258.0
25,498.0,498.0,0.0,BBF10K_001626,mutation_0.0-4.0,547.0,551.0,4.0,673.0
26,333.0,357.0,24.0,BBF10K_001627,bad_forward,345.0,345.0,0.0,1393.0
27,539.0,539.0,0.0,BBF10K_002990,sequence_confirmed,551.0,551.0,0.0,949.0
28,519.0,519.0,0.0,BBF10K_002993,sequence_confirmed,518.0,518.0,0.0,829.0
29,498.0,498.0,0.0,BBF10K_001757,sequence_confirmed,480.0,480.0,0.0,940.0
30,526.0,526.0,0.0,BBF10K_001796,sequence_confirmed,470.0,470.0,0.0,1195.0
31,553.0,553.0,0.0,BBF10K_001864,sequence_confirmed,229.0,229.0,0.0,1294.0
32,486.0,486.0,0.0,BBF10K_001872,sequence_confirmed,545.0,545.0,0.0,1129.0
33,492.0,492.0,0.0,BBF10K_001889,sequence_confirmed,534.0,534.0,0.0,919.0
34,476.0,476.0,0.0,BBF10K_001921,sequence_confirmed,506.0,506.0,0.0,991.0
35,476.0,476.0,0.0,BBF10K_001923,sequence_confirmed,523.0,523.0,0.0,1066.0
36,520.0,520.0,0.0,BBF10K_001939,sequence_confirmed,447.0,447.0,0.0,763.0
37,411.0,411.0,0.0,BBF10K_001962,sequence_confirmed,445.0,445.0,0.0,1468.0
38,361.0,362.0,1.0,BBF10K_001983,mutation_1.0-6.0,411.0,417.0,6.0,529.0
